x,current_suppression_factor
9.800000000000000000e+01,1.839306816283010848e+00
9.850000000000000000e+01,1.840330919161157874e+00
9.900000000000000000e+01,1.841355607695501773e+00
9.950000000000000000e+01,1.842380851314913137e+00
1.000000000000000000e+02,1.843406681242879319e+00
1.005000000000000000e+02,1.844433066874218374e+00
1.010000000000000000e+02,1.845460039467197388e+00
1.015000000000000000e+02,1.846487568382542799e+00
1.020000000000000000e+02,1.847515684913342504e+00
1.025000000000000000e+02,1.848544358386192243e+00
1.030000000000000000e+02,1.849573620129035145e+00
1.035000000000000000e+02,1.850603439434302944e+00
1.040000000000000000e+02,1.851633847664834631e+00
1.045000000000000000e+02,1.852664814078856192e+00
1.050000000000000000e+02,1.853696370074140898e+00
1.055000000000000000e+02,1.854728484874672567e+00
1.060000000000000000e+02,1.855761189913198272e+00
1.065000000000000000e+02,1.856794454379419035e+00
1.070000000000000000e+02,1.857828309741096584e+00
1.075000000000000000e+02,1.858862725153612727e+00
1.080000000000000000e+02,1.859897732119779379e+00
1.085000000000000000e+02,1.860933299760621606e+00
1.090000000000000000e+02,1.861969459614042144e+00
1.095000000000000000e+02,1.863006180766669573e+00
1.100000000000000000e+02,1.864043494791537636e+00
1.105000000000000000e+02,1.865081370740839795e+00
1.110000000000000000e+02,1.866119840222777881e+00
1.115000000000000000e+02,1.867158872255074931e+00
1.120000000000000000e+02,1.868198498481139280e+00
1.125000000000000000e+02,1.869238687884183125e+00
1.130000000000000000e+02,1.870279472142864829e+00
1.135000000000000000e+02,1.871320820205844893e+00
1.140000000000000000e+02,1.872362763787066120e+00
1.145000000000000000e+02,1.873405271800603344e+00
1.150000000000000000e+02,1.874448375995728222e+00
1.155000000000000000e+02,1.875492045251885065e+00
1.160000000000000000e+02,1.876536311353711017e+00
1.165000000000000000e+02,1.877581143145988563e+00
1.170000000000000000e+02,1.878626572448757193e+00
1.175000000000000000e+02,1.879672568072095817e+00
1.180000000000000000e+02,1.880719161871488465e+00
1.185000000000000000e+02,1.881766322622271170e+00
1.190000000000000000e+02,1.882814082215412022e+00
1.195000000000000000e+02,1.883862409391467096e+00
1.200000000000000000e+02,1.884911336076926958e+00
1.205000000000000000e+02,1.885960830977527536e+00
1.210000000000000000e+02,1.887010926055321391e+00
1.215000000000000000e+02,1.888061589981187893e+00
1.220000000000000000e+02,1.889112854752781567e+00
1.225000000000000000e+02,1.890164689006082588e+00
1.230000000000000000e+02,1.891217124774387859e+00
1.235000000000000000e+02,1.892270130658744387e+00
1.240000000000000000e+02,1.893323738728129424e+00
1.245000000000000000e+02,1.894377917548612844e+00
1.250000000000000000e+02,1.895432699224894213e+00
1.255000000000000000e+02,1.896488052288030079e+00
1.260000000000000000e+02,1.897544008878481403e+00
1.265000000000000000e+02,1.898600537492250551e+00
1.270000000000000000e+02,1.899657670305600066e+00
1.275000000000000000e+02,1.900715375779441052e+00
1.280000000000000000e+02,1.901773686125875384e+00
1.285000000000000000e+02,1.902832569770683602e+00
1.290000000000000000e+02,1.903892058961849543e+00
1.295000000000000000e+02,1.904952122089981881e+00
1.300000000000000000e+02,1.906012791438985721e+00
1.305000000000000000e+02,1.907074035364261677e+00
1.310000000000000000e+02,1.908135886185674090e+00
1.315000000000000000e+02,1.909198312223374883e+00
1.320000000000000000e+02,1.910261345833229374e+00
1.325000000000000000e+02,1.911324955300102379e+00
1.330000000000000000e+02,1.912389173015899502e+00
1.335000000000000000e+02,1.913453967230157593e+00
1.340000000000000000e+02,1.914519370370864060e+00
1.345000000000000000e+02,1.915585350652189600e+00
1.350000000000000000e+02,1.916651940538244503e+00
1.355000000000000000e+02,1.917719108207789569e+00
1.360000000000000000e+02,1.918786886161098382e+00
1.365000000000000000e+02,1.919855242541487206e+00
1.370000000000000000e+02,1.920924209885430445e+00
1.375000000000000000e+02,1.921993756300760303e+00
1.380000000000000000e+02,1.923063914360191307e+00
1.385000000000000000e+02,1.924134652136032964e+00
1.390000000000000000e+02,1.925206002237283442e+00
1.395000000000000000e+02,1.926277932700685813e+00
1.400000000000000000e+02,1.927350476171562521e+00
1.405000000000000000e+02,1.928423600651052006e+00
1.410000000000000000e+02,1.929497338820839847e+00
1.415000000000000000e+02,1.930571658646423883e+00
1.420000000000000000e+02,1.931646592845891464e+00
1.425000000000000000e+02,1.932722109349056749e+00
1.430000000000000000e+02,1.933798240910453048e+00
