x,screening_profile
1.380000000000000000e+02,1.085319744284562571e+00
1.385000000000000000e+02,1.065565480374393914e+00
1.390000000000000000e+02,1.046170780287267288e+00
1.395000000000000000e+02,1.027129079629250707e+00
1.400000000000000000e+02,1.008433972836586534e+00
1.405000000000000000e+02,9.900791323019887402e-01
1.410000000000000000e+02,9.720583835191238808e-01
1.415000000000000000e+02,9.543656271261340418e-01
1.420000000000000000e+02,9.369949113395543705e-01
1.425000000000000000e+02,9.199403568098309947e-01
1.430000000000000000e+02,9.031962264424489018e-01
1.435000000000000000e+02,8.867568529640148522e-01
1.440000000000000000e+02,8.706167062248405530e-01
1.445000000000000000e+02,8.547703233778167764e-01
1.450000000000000000e+02,8.392123737532996008e-01
1.455000000000000000e+02,8.239375915565289032e-01
1.460000000000000000e+02,8.089408384023879517e-01
1.465000000000000000e+02,7.942170384405179417e-01
1.470000000000000000e+02,7.797612386343646396e-01
1.475000000000000000e+02,7.655685462264170127e-01
1.480000000000000000e+02,7.516341868429073925e-01
1.485000000000000000e+02,7.379534442147637208e-01
1.490000000000000000e+02,7.245217161863943822e-01
1.495000000000000000e+02,7.113344566109879308e-01
1.500000000000000000e+02,6.983872293389840058e-01
1.505000000000000000e+02,6.856756522092893880e-01
1.510000000000000000e+02,6.731954490903110377e-01
1.515000000000000000e+02,6.609423958914854014e-01
1.520000000000000000e+02,6.489123707271208241e-01
1.525000000000000000e+02,6.371013018753634016e-01
1.530000000000000000e+02,6.255052161325621585e-01
1.535000000000000000e+02,6.141201886494264128e-01
1.540000000000000000e+02,6.029423895411816225e-01
1.545000000000000000e+02,5.919680355332062049e-01
1.550000000000000000e+02,5.811934348898950553e-01
1.555000000000000000e+02,5.706149408045040339e-01
1.560000000000000000e+02,5.602289947073684218e-01
1.565000000000000000e+02,5.500320813370389583e-01
1.570000000000000000e+02,5.400207704863141389e-01
1.575000000000000000e+02,5.301916736940215369e-01
1.580000000000000000e+02,5.205414844852135348e-01
1.585000000000000000e+02,5.110669366251353596e-01
1.590000000000000000e+02,5.017648429079023531e-01
1.595000000000000000e+02,4.926320549163037410e-01
1.600000000000000000e+02,4.836655004113195599e-01
1.605000000000000000e+02,4.748621445434437205e-01
1.610000000000000000e+02,4.662190258935096643e-01
1.615000000000000000e+02,4.577332190831736591e-01
1.620000000000000000e+02,4.494018695156988819e-01
1.625000000000000000e+02,4.412221573351301496e-01
1.630000000000000000e+02,4.331913309139296397e-01
1.635000000000000000e+02,4.253066721121938065e-01
1.640000000000000000e+02,4.175655285573447451e-01
1.645000000000000000e+02,4.099652801564935833e-01
1.650000000000000000e+02,4.025033702117604140e-01
1.655000000000000000e+02,3.951772731405818750e-01
1.660000000000000000e+02,3.879845244686587202e-01
1.665000000000000000e+02,3.809226897146366086e-01
1.670000000000000000e+02,3.739893933011668170e-01
1.675000000000000000e+02,3.671822885619591692e-01
1.680000000000000000e+02,3.604990856099811181e-01
1.685000000000000000e+02,3.539375224263974773e-01
1.690000000000000000e+02,3.474953917235252820e-01
1.695000000000000000e+02,3.411705130766349292e-01
1.700000000000000000e+02,3.349607588179219220e-01
1.705000000000000000e+02,3.288640271735515652e-01
1.710000000000000000e+02,3.228782672236003015e-01
1.715000000000000000e+02,3.170014530080831894e-01
1.720000000000000000e+02,3.112316075865563803e-01
1.725000000000000000e+02,3.055667780781761711e-01
1.730000000000000000e+02,3.000050588534378115e-01
1.735000000000000000e+02,2.945445674745740261e-01
1.740000000000000000e+02,2.891834670507364979e-01
1.745000000000000000e+02,2.839199430462566176e-01
1.750000000000000000e+02,2.787522248294451721e-01
1.755000000000000000e+02,2.736785633174108612e-01
1.760000000000000000e+02,2.686972517475653688e-01
1.765000000000000000e+02,2.638066041288239516e-01
1.770000000000000000e+02,2.590049752638533542e-01
1.775000000000000000e+02,2.542907399775676813e-01
1.780000000000000000e+02,2.496623124171463426e-01
1.785000000000000000e+02,2.451181260297860265e-01
1.790000000000000000e+02,2.406566521665412517e-01
1.795000000000000000e+02,2.362763807823057005e-01
1.800000000000000000e+02,2.319758383685870673e-01
1.805000000000000000e+02,2.277535693496663960e-01
1.810000000000000000e+02,2.236081533685130018e-01
1.815000000000000000e+02,2.195381873540102058e-01
1.820000000000000000e+02,2.155423021833433872e-01
1.825000000000000000e+02,2.116191453960854507e-01
1.830000000000000000e+02,2.077673972555497128e-01
1.835000000000000000e+02,2.039857540864018492e-01
1.840000000000000000e+02,2.002729437566583559e-01
1.845000000000000000e+02,1.966277096163328852e-01
1.850000000000000000e+02,1.930488254209782872e-01
1.855000000000000000e+02,1.895350798496877320e-01
1.860000000000000000e+02,1.860852908903243563e-01
1.865000000000000000e+02,1.826982909159793333e-01
1.870000000000000000e+02,1.793729405513062591e-01
1.875000000000000000e+02,1.761081142872920058e-01
1.880000000000000000e+02,1.729027138474134584e-01
1.885000000000000000e+02,1.697556543213033509e-01
1.890000000000000000e+02,1.666658770487711438e-01
1.895000000000000000e+02,1.636323362536468151e-01
1.900000000000000000e+02,1.606540114630574112e-01
1.905000000000000000e+02,1.577298946234061694e-01
1.910000000000000000e+02,1.548590020716690274e-01
1.915000000000000000e+02,1.520403621161178220e-01
1.920000000000000000e+02,1.492730265757959141e-01
1.925000000000000000e+02,1.465560588092215399e-01
1.930000000000000000e+02,1.438885448376189258e-01
1.935000000000000000e+02,1.412695818054424679e-01
1.940000000000000000e+02,1.386982887023779365e-01
1.945000000000000000e+02,1.361737952401110563e-01
1.950000000000000000e+02,1.336952521875716671e-01
1.955000000000000000e+02,1.312618206489324924e-01
1.960000000000000000e+02,1.288726820260467643e-01
1.965000000000000000e+02,1.265270276832042851e-01
1.970000000000000000e+02,1.242240685502103148e-01
1.975000000000000000e+02,1.219630251599480575e-01
1.980000000000000000e+02,1.197431369050613037e-01
1.985000000000000000e+02,1.175636524348756956e-01
1.990000000000000000e+02,1.154238385781801157e-01
1.995000000000000000e+02,1.133229710865441692e-01
2.000000000000000000e+02,1.112603432352427119e-01
2.005000000000000000e+02,1.092352569004743645e-01
2.010000000000000000e+02,1.072470308500391156e-01
2.015000000000000000e+02,1.052949921424136265e-01
2.020000000000000000e+02,1.033784841183727765e-01
2.025000000000000000e+02,1.014968581103121714e-01
2.030000000000000000e+02,9.964948114560090442e-02
2.035000000000000000e+02,9.783572795496010832e-02
2.040000000000000000e+02,9.605498839794530952e-02
2.045000000000000000e+02,9.430665975959366676e-02
2.050000000000000000e+02,9.259015390805896972e-02
2.055000000000000000e+02,9.090488986912947933e-02
2.060000000000000000e+02,8.925030072567714801e-02
2.065000000000000000e+02,8.762582646002269049e-02
2.070000000000000000e+02,8.603092060451242307e-02
2.075000000000000000e+02,8.446504334206882125e-02
2.080000000000000000e+02,8.292766791687204708e-02
2.085000000000000000e+02,8.141827398378316538e-02
2.090000000000000000e+02,7.993635378778340961e-02
2.095000000000000000e+02,7.848140575329298763e-02
2.100000000000000000e+02,7.705294044070946924e-02
2.105000000000000000e+02,7.565047436696853422e-02
2.110000000000000000e+02,7.427353574722204976e-02
2.115000000000000000e+02,7.292165853829950251e-02
2.120000000000000000e+02,7.159438797327587201e-02
2.125000000000000000e+02,7.029127481979373371e-02
2.130000000000000000e+02,6.901188071499156362e-02
2.135000000000000000e+02,6.775577263093593428e-02
2.140000000000000000e+02,6.652252801711189267e-02
2.145000000000000000e+02,6.531172946549440583e-02
2.150000000000000000e+02,6.412296966754209293e-02
2.155000000000000000e+02,6.295584627170691672e-02
2.160000000000000000e+02,6.180996666162233422e-02
2.165000000000000000e+02,6.068494299910959233e-02
2.170000000000000000e+02,5.958039683001017939e-02
2.175000000000000000e+02,5.849595430599764667e-02
2.180000000000000000e+02,5.743125062427132527e-02
2.185000000000000000e+02,5.638592542172399247e-02
2.190000000000000000e+02,5.535962705448973370e-02
2.195000000000000000e+02,5.435200815825028120e-02
2.200000000000000000e+02,5.336272977341375429e-02
2.205000000000000000e+02,5.239145706556680437e-02
2.210000000000000000e+02,5.143786330185252248e-02
2.215000000000000000e+02,5.050162572579166426e-02
2.220000000000000000e+02,4.958242939022727142e-02
2.225000000000000000e+02,4.867996318094670177e-02
2.230000000000000000e+02,4.779392351136665246e-02
2.235000000000000000e+02,4.692401048958862175e-02
2.240000000000000000e+02,4.606993147981157388e-02
2.245000000000000000e+02,4.523139740764697131e-02
2.250000000000000000e+02,4.440812619306640230e-02
2.255000000000000000e+02,4.359983918898893002e-02
2.260000000000000000e+02,4.280626449039763581e-02
2.265000000000000000e+02,4.202713350139198473e-02
2.270000000000000000e+02,4.126218412494002397e-02
2.275000000000000000e+02,4.051115745376179800e-02
2.280000000000000000e+02,3.977380084502291774e-02
2.285000000000000000e+02,3.904986473058228574e-02
2.290000000000000000e+02,3.833910558077724406e-02
2.295000000000000000e+02,3.764128282973004669e-02
2.300000000000000000e+02,3.695616173222525391e-02
2.305000000000000000e+02,3.628351039992457061e-02
2.310000000000000000e+02,3.562310255519274965e-02
2.315000000000000000e+02,3.497471467422025304e-02
2.320000000000000000e+02,3.433812864151488536e-02
2.325000000000000000e+02,3.371312899607588343e-02
2.330000000000000000e+02,3.309950549013443433e-02
2.335000000000000000e+02,3.249705043466209753e-02
2.340000000000000000e+02,3.190556116581392404e-02
2.345000000000000000e+02,3.132483748618808406e-02
2.350000000000000000e+02,3.075468404230104549e-02
2.355000000000000000e+02,3.019490785814441317e-02
2.360000000000000000e+02,2.964532062690135653e-02
2.365000000000000000e+02,2.910573633347139297e-02
2.370000000000000000e+02,2.857597346352151388e-02
2.375000000000000000e+02,2.805585271176969098e-02
2.380000000000000000e+02,2.754519911135258625e-02
2.385000000000000000e+02,2.704383982477432877e-02
2.390000000000000000e+02,2.655160619646506834e-02
2.395000000000000000e+02,2.606833162341324131e-02
2.400000000000000000e+02,2.559385353368550872e-02
2.405000000000000000e+02,2.512801133386824426e-02
2.410000000000000000e+02,2.467064831621957124e-02
2.415000000000000000e+02,2.422160968014940713e-02
2.420000000000000000e+02,2.378074437057792548e-02
2.425000000000000000e+02,2.334790317078355368e-02
2.430000000000000000e+02,2.292294047444928470e-02
2.435000000000000000e+02,2.250571244730429493e-02
2.440000000000000000e+02,2.209607873525009161e-02
2.445000000000000000e+02,2.169390069231424967e-02
2.450000000000000000e+02,2.129904302716211645e-02
2.455000000000000000e+02,2.091137209497065386e-02
2.460000000000000000e+02,2.053075748454824545e-02
2.465000000000000000e+02,2.015707037182296740e-02
2.470000000000000000e+02,1.979018504971282247e-02
2.475000000000000000e+02,1.942997734100592247e-02
2.480000000000000000e+02,1.907632607304623681e-02
2.485000000000000000e+02,1.872911154786334118e-02
2.490000000000000000e+02,1.838821696366423411e-02
2.495000000000000000e+02,1.805352694014760589e-02
2.500000000000000000e+02,1.772492888872048700e-02
2.505000000000000000e+02,1.740231159100646963e-02
2.510000000000000000e+02,1.708556651963674677e-02
2.515000000000000000e+02,1.677458646803349149e-02
2.520000000000000000e+02,1.646926682355817281e-02
2.525000000000000000e+02,1.616950424672049247e-02
2.530000000000000000e+02,1.587519789840253007e-02
2.535000000000000000e+02,1.558624816671039769e-02
2.540000000000000000e+02,1.530255784993074172e-02
2.545000000000000000e+02,1.502403092930660634e-02
2.550000000000000000e+02,1.475057370932305809e-02
2.555000000000000000e+02,1.448209363475070829e-02
2.560000000000000000e+02,1.421850038979969102e-02
2.565000000000000000e+02,1.395970475783402630e-02
2.570000000000000000e+02,1.370561968087761345e-02
2.575000000000000000e+02,1.345615916046025672e-02
2.580000000000000000e+02,1.321123927890584249e-02
2.585000000000000000e+02,1.297077713982633732e-02
2.590000000000000000e+02,1.273469185257068877e-02
2.595000000000000000e+02,1.250290351093669150e-02
2.600000000000000000e+02,1.227533414210944286e-02
2.605000000000000000e+02,1.205190672221248017e-02
2.610000000000000000e+02,1.183254609101672301e-02
2.615000000000000000e+02,1.161717800300201414e-02
2.620000000000000000e+02,1.140573000907129514e-02
2.625000000000000000e+02,1.119813054184161730e-02
2.630000000000000000e+02,1.099430976555370622e-02
2.635000000000000000e+02,1.079419869435776190e-02
2.640000000000000000e+02,1.059773001156562831e-02
2.645000000000000000e+02,1.040483721974123921e-02
2.650000000000000000e+02,1.021545543040122683e-02
2.655000000000000000e+02,1.002952054476276798e-02
2.660000000000000000e+02,9.846970014958628115e-03
2.665000000000000000e+02,9.667742054336538743e-03
2.670000000000000000e+02,9.491776371216174499e-03
2.675000000000000000e+02,9.319013407674119412e-03
2.680000000000000000e+02,9.149395046833218997e-03
2.685000000000000000e+02,8.982863879105615346e-03
2.690000000000000000e+02,8.819363883969207063e-03
2.695000000000000000e+02,8.658839722678304124e-03
2.700000000000000000e+02,8.501237395447469938e-03
2.705000000000000000e+02,8.346503559675077025e-03
2.710000000000000000e+02,8.194586163421628891e-03
2.715000000000000000e+02,8.045433788225914498e-03
2.720000000000000000e+02,7.898996259732919342e-03
2.725000000000000000e+02,7.755224014215486225e-03
2.730000000000000000e+02,7.614068687176039907e-03
2.735000000000000000e+02,7.475482502718689033e-03
2.740000000000000000e+02,7.339418840919274649e-03
2.745000000000000000e+02,7.205831649223653351e-03
2.750000000000000000e+02,7.074675989351944874e-03
2.755000000000000000e+02,6.945907469928467096e-03
2.760000000000000000e+02,6.819482773658404676e-03
2.765000000000000000e+02,6.695359110423565810e-03
2.770000000000000000e+02,6.573494725443067635e-03
2.775000000000000000e+02,6.453848372096659784e-03
2.780000000000000000e+02,6.336379801755374387e-03
2.785000000000000000e+02,6.221049255620834592e-03
2.790000000000000000e+02,6.107817936887034727e-03
2.795000000000000000e+02,5.996647520909699838e-03
2.800000000000000000e+02,5.887500610336554238e-03
2.805000000000000000e+02,5.780340262945533533e-03
2.810000000000000000e+02,5.675130430357881728e-03
2.815000000000000000e+02,5.571835502907889620e-03
2.820000000000000000e+02,5.470420732531005616e-03
2.825000000000000000e+02,5.370851794050750770e-03
2.830000000000000000e+02,5.273095192812673158e-03
2.835000000000000000e+02,5.177117841796241397e-03
2.840000000000000000e+02,5.082887454544890785e-03
2.845000000000000000e+02,4.990372137532065461e-03
2.850000000000000000e+02,4.899540768917740215e-03
2.855000000000000000e+02,4.810362605618376947e-03
2.860000000000000000e+02,4.722807648401184180e-03
2.865000000000000000e+02,4.636846263127594389e-03
2.870000000000000000e+02,4.552449532678071870e-03
2.875000000000000000e+02,4.469588891857861034e-03
2.880000000000000000e+02,4.388236466627382787e-03
2.885000000000000000e+02,4.308364722177430994e-03
2.890000000000000000e+02,4.229946789923067114e-03
2.895000000000000000e+02,4.152956128273221220e-03
2.900000000000000000e+02,4.077366837829471402e-03
2.905000000000000000e+02,4.003153334392151735e-03
