x,current_density_clean
3.300000000000000000e+01,1.502280133229144287e+11
3.350000000000000000e+01,1.474936635264520264e+11
3.400000000000000000e+01,1.448090839097755737e+11
3.450000000000000000e+01,1.421733658412453308e+11
3.500000000000000000e+01,1.395856226742092896e+11
3.550000000000000000e+01,1.370449785526106567e+11
3.600000000000000000e+01,1.345505788123518829e+11
3.650000000000000000e+01,1.321015791906991272e+11
3.700000000000000000e+01,1.296971558524550934e+11
3.750000000000000000e+01,1.273364949885945892e+11
3.800000000000000000e+01,1.250188024807798767e+11
3.850000000000000000e+01,1.227432938751877594e+11
3.900000000000000000e+01,1.205092036984124146e+11
3.950000000000000000e+01,1.183157757929503632e+11
4.000000000000000000e+01,1.161622722970659790e+11
4.050000000000000000e+01,1.140479643288885651e+11
4.100000000000000000e+01,1.119721406423621063e+11
4.150000000000000000e+01,1.099340986473794861e+11
4.200000000000000000e+01,1.079331527535003204e+11
4.250000000000000000e+01,1.059686257140012970e+11
4.300000000000000000e+01,1.040398566686246490e+11
4.350000000000000000e+01,1.021461927998604126e+11
4.400000000000000000e+01,1.002869970855819855e+11
4.450000000000000000e+01,9.846164025629769897e+10
4.500000000000000000e+01,9.666950826813822937e+10
4.550000000000000000e+01,9.490999455022106934e+10
4.600000000000000000e+01,9.318250720807705688e+10
4.650000000000000000e+01,9.148646155066302490e+10
4.700000000000000000e+01,8.982128703395089722e+10
4.750000000000000000e+01,8.818642005750120544e+10
4.800000000000000000e+01,8.658131065758740234e+10
4.850000000000000000e+01,8.500541556360685730e+10
4.900000000000000000e+01,8.345820464977500916e+10
4.950000000000000000e+01,8.193915424200111389e+10
5.000000000000000000e+01,8.044775333686100769e+10
5.050000000000000000e+01,7.898349714990284729e+10
5.100000000000000000e+01,7.754589311029325867e+10
5.150000000000000000e+01,7.613445464184425354e+10
5.200000000000000000e+01,7.474870694142448425e+10
5.250000000000000000e+01,7.338818098431298828e+10
5.300000000000000000e+01,7.205241909417515564e+10
5.350000000000000000e+01,7.074096916465170288e+10
5.400000000000000000e+01,6.945339002841783142e+10
5.450000000000000000e+01,6.818924588720748901e+10
5.500000000000000000e+01,6.694811148720321655e+10
5.550000000000000000e+01,6.572956674997707367e+10
5.600000000000000000e+01,6.453320176119696045e+10
5.650000000000000000e+01,6.335861159523699188e+10
5.700000000000000000e+01,6.220540112393435669e+10
5.750000000000000000e+01,6.107318002788294220e+10
5.800000000000000000e+01,5.996156743173193359e+10
5.850000000000000000e+01,5.887018709542871857e+10
5.900000000000000000e+01,5.779867188231604004e+10
5.950000000000000000e+01,5.674665912383336639e+10
6.000000000000000000e+01,5.571379492644358826e+10
6.050000000000000000e+01,5.469972970353596497e+10
6.100000000000000000e+01,5.370412232699610138e+10
6.150000000000000000e+01,5.272663582027932739e+10
6.200000000000000000e+01,5.176694136022778320e+10
6.250000000000000000e+01,5.082471412550051880e+10
6.300000000000000000e+01,4.989963715403960419e+10
6.350000000000000000e+01,4.899139734125305176e+10
6.400000000000000000e+01,4.809968915833686829e+10
6.450000000000000000e+01,4.722421079480888367e+10
6.500000000000000000e+01,4.636466774270592499e+10
6.550000000000000000e+01,4.552076907826168823e+10
6.600000000000000000e+01,4.469223091681709290e+10
6.650000000000000000e+01,4.387877282862301636e+10
6.700000000000000000e+01,4.308012116912735748e+10
6.750000000000000000e+01,4.229600562406467438e+10
6.800000000000000000e+01,4.152616241961520386e+10
6.850000000000000000e+01,4.077033099211790466e+10
6.900000000000000000e+01,4.002825708243458557e+10
6.950000000000000000e+01,3.929968952579095459e+10
7.000000000000000000e+01,3.858438323452287292e+10
7.050000000000000000e+01,3.788209610371213531e+10
7.100000000000000000e+01,3.719259188634103394e+10
7.150000000000000000e+01,3.651563721054611206e+10
7.200000000000000000e+01,3.585100435106194305e+10
7.250000000000000000e+01,3.519846835406658173e+10
7.300000000000000000e+01,3.455780970865561676e+10
7.350000000000000000e+01,3.392881157539841843e+10
7.400000000000000000e+01,3.331126236144839859e+10
7.450000000000000000e+01,3.270495304906903839e+10
7.500000000000000000e+01,3.210967967785641861e+10
7.550000000000000000e+01,3.152524076962898254e+10
7.600000000000000000e+01,3.095143972111285782e+10
7.650000000000000000e+01,3.038808232171939087e+10
7.700000000000000000e+01,2.983497905992304611e+10
7.750000000000000000e+01,2.929194273057608414e+10
7.800000000000000000e+01,2.875879065809227371e+10
7.850000000000000000e+01,2.823534239006896973e+10
7.900000000000000000e+01,2.772142184027759933e+10
7.950000000000000000e+01,2.721685506547986984e+10
8.000000000000000000e+01,2.672147233111772537e+10
8.050000000000000000e+01,2.623510596832283401e+10
8.100000000000000000e+01,2.575759236509421539e+10
8.150000000000000000e+01,2.528876990060839081e+10
8.200000000000000000e+01,2.482848086457249451e+10
8.250000000000000000e+01,2.437656946604666138e+10
8.300000000000000000e+01,2.393288368356347656e+10
8.350000000000000000e+01,2.349727334577483368e+10
8.400000000000000000e+01,2.306959191483507156e+10
8.450000000000000000e+01,2.264969463628149796e+10
8.500000000000000000e+01,2.223744025808849335e+10
8.550000000000000000e+01,2.183268924728433228e+10
8.600000000000000000e+01,2.143530544699668121e+10
8.650000000000000000e+01,2.104515435739849472e+10
8.700000000000000000e+01,2.066210473298158646e+10
8.750000000000000000e+01,2.028602692551119614e+10
8.800000000000000000e+01,1.991679442368369675e+10
8.850000000000000000e+01,1.955428225585303116e+10
8.900000000000000000e+01,1.919836847415090179e+10
8.950000000000000000e+01,1.884893261482905960e+10
9.000000000000000000e+01,1.850585712884519958e+10
9.050000000000000000e+01,1.816902589774282455e+10
9.100000000000000000e+01,1.783832561263397980e+10
9.150000000000000000e+01,1.751364434361331558e+10
9.200000000000000000e+01,1.719487286899906921e+10
9.250000000000000000e+01,1.688190329635030365e+10
9.300000000000000000e+01,1.657463034376033592e+10
9.350000000000000000e+01,1.627295001061578178e+10
9.400000000000000000e+01,1.597676081267197609e+10
9.450000000000000000e+01,1.568596250075956345e+10
9.500000000000000000e+01,1.540045725130904961e+10
9.550000000000000000e+01,1.512014843127539825e+10
9.600000000000000000e+01,1.484494174571874046e+10
9.650000000000000000e+01,1.457474404727982140e+10
9.700000000000000000e+01,1.430946444236590385e+10
9.750000000000000000e+01,1.404901314357007599e+10
9.800000000000000000e+01,1.379330253595551300e+10
9.850000000000000000e+01,1.354224607086956787e+10
9.900000000000000000e+01,1.329575929376573372e+10
9.950000000000000000e+01,1.305375877791935158e+10
1.000000000000000000e+02,1.281616311517463875e+10
1.005000000000000000e+02,1.258289188812272644e+10
1.010000000000000000e+02,1.235386662511107635e+10
1.015000000000000000e+02,1.212900980949648666e+10
1.020000000000000000e+02,1.190824580020599365e+10
1.025000000000000000e+02,1.169149987672747612e+10
1.030000000000000000e+02,1.147869912646467972e+10
1.035000000000000000e+02,1.126977152417630768e+10
1.040000000000000000e+02,1.106464678732292938e+10
1.045000000000000000e+02,1.086325548871197510e+10
1.050000000000000000e+02,1.066552988099111176e+10
1.055000000000000000e+02,1.047140304130132675e+10
1.060000000000000000e+02,1.028080966602972031e+10
1.065000000000000000e+02,1.009368524631612206e+10
1.070000000000000000e+02,9.909966834138038635e+09
1.075000000000000000e+02,9.729592247557910919e+09
1.080000000000000000e+02,9.552500809174304962e+09
1.085000000000000000e+02,9.378632580036983490e+09
1.090000000000000000e+02,9.207929071461177826e+09
1.095000000000000000e+02,9.040332506576364517e+09
1.100000000000000000e+02,8.875786506464435577e+09
1.105000000000000000e+02,8.714235378345422745e+09
1.110000000000000000e+02,8.555624776965714455e+09
1.115000000000000000e+02,8.399901018459902763e+09
1.120000000000000000e+02,8.247011717881830215e+09
1.125000000000000000e+02,8.096905127816353798e+09
1.130000000000000000e+02,7.949530752913799286e+09
1.135000000000000000e+02,7.804838712358895302e+09
1.140000000000000000e+02,7.662780332238124847e+09
1.145000000000000000e+02,7.523307531005281448e+09
1.150000000000000000e+02,7.386373390481320381e+09
1.155000000000000000e+02,7.251931563487010002e+09
1.160000000000000000e+02,7.119936824246040344e+09
1.165000000000000000e+02,6.990344497385167122e+09
1.170000000000000000e+02,6.863110988483539581e+09
1.175000000000000000e+02,6.738193233669586182e+09
1.180000000000000000e+02,6.615549211032693863e+09
1.185000000000000000e+02,6.495137410073895454e+09
1.190000000000000000e+02,6.376917324670228958e+09
1.195000000000000000e+02,6.260848941663061142e+09
1.200000000000000000e+02,6.146893216040553093e+09
1.205000000000000000e+02,6.035011577973299980e+09
1.210000000000000000e+02,5.925166390856311798e+09
1.215000000000000000e+02,5.817320476126552582e+09
1.220000000000000000e+02,5.711437554782729149e+09
1.225000000000000000e+02,5.607481789343299866e+09
1.230000000000000000e+02,5.505418209440049171e+09
1.235000000000000000e+02,5.405212270298292160e+09
1.240000000000000000e+02,5.306830262978705406e+09
1.245000000000000000e+02,5.210238888783761024e+09
1.250000000000000000e+02,5.115405654701572418e+09
1.255000000000000000e+02,5.022298463164064407e+09
1.260000000000000000e+02,4.930885993226617813e+09
1.265000000000000000e+02,4.841137305124236107e+09
1.270000000000000000e+02,4.753022207701507568e+09
1.275000000000000000e+02,4.666510877232973099e+09
1.280000000000000000e+02,4.581574211599390030e+09
1.285000000000000000e+02,4.498183462857767105e+09
1.290000000000000000e+02,4.416310578642010689e+09
1.295000000000000000e+02,4.335927847986655235e+09
1.300000000000000000e+02,4.257008230412732124e+09
1.305000000000000000e+02,4.179525014527106285e+09
1.310000000000000000e+02,4.103452135237777710e+09
1.315000000000000000e+02,4.028763844668009758e+09
1.320000000000000000e+02,3.955435017929233074e+09
1.325000000000000000e+02,3.883440835905755520e+09
1.330000000000000000e+02,3.812757079998019695e+09
1.335000000000000000e+02,3.743359826349701405e+09
1.340000000000000000e+02,3.675225729959170341e+09
1.345000000000000000e+02,3.608331729936242104e+09
1.350000000000000000e+02,3.542655323365350723e+09
1.355000000000000000e+02,3.478174281194082737e+09
1.360000000000000000e+02,3.414866912217739105e+09
1.365000000000000000e+02,3.352711789216158390e+09
1.370000000000000000e+02,3.291688003415988922e+09
1.375000000000000000e+02,3.231774900506137371e+09
1.380000000000000000e+02,3.172952325921234131e+09
1.385000000000000000e+02,3.115200370379368305e+09
1.390000000000000000e+02,3.058499606317843437e+09
1.395000000000000000e+02,3.002830842609709740e+09
1.400000000000000000e+02,2.948175352470965385e+09
1.405000000000000000e+02,2.894514637024793625e+09
