x,screening_profile_corrected
3.150000000000000000e+01,5.536319277098195357e+01
3.200000000000000000e+01,5.439111118817842794e+01
3.250000000000000000e+01,5.343267028209270109e+01
3.300000000000000000e+01,5.248950786413436731e+01
3.350000000000000000e+01,5.156282275371590629e+01
3.400000000000000000e+01,5.065249839109233676e+01
3.450000000000000000e+01,4.975824508267841395e+01
3.500000000000000000e+01,4.887977993431933044e+01
3.550000000000000000e+01,4.801682339102478636e+01
3.600000000000000000e+01,4.716910245927086009e+01
3.650000000000000000e+01,4.633634736783520935e+01
3.700000000000000000e+01,4.551829467732596868e+01
3.750000000000000000e+01,4.471468405787986455e+01
3.800000000000000000e+01,4.392526128986490619e+01
3.850000000000000000e+01,4.314977515435148803e+01
3.900000000000000000e+01,4.238798032879756761e+01
3.950000000000000000e+01,4.163963438634593928e+01
4.000000000000000000e+01,4.090450059016724538e+01
4.050000000000000000e+01,4.018234499777481261e+01
4.100000000000000000e+01,3.947293915757217064e+01
4.150000000000000000e+01,3.877605731451016169e+01
4.200000000000000000e+01,3.809147901226152300e+01
4.250000000000000000e+01,3.741898639667348903e+01
4.300000000000000000e+01,3.675836672687240281e+01
4.350000000000000000e+01,3.610940977308908373e+01
4.400000000000000000e+01,3.547191023988070668e+01
4.450000000000000000e+01,3.484566525502614809e+01
4.500000000000000000e+01,3.423047670794084496e+01
4.550000000000000000e+01,3.362614882645484471e+01
4.600000000000000000e+01,3.303249043338865931e+01
4.650000000000000000e+01,3.244931260813841334e+01
4.700000000000000000e+01,3.187643086427679506e+01
4.750000000000000000e+01,3.131366289297727690e+01
4.800000000000000000e+01,3.076083066440413916e+01
4.850000000000000000e+01,3.021775825011151539e+01
4.900000000000000000e+01,2.968427385088972414e+01
4.950000000000000000e+01,2.916020769537524515e+01
5.000000000000000000e+01,2.864539399692717225e+01
5.050000000000000000e+01,2.813966892578088519e+01
5.100000000000000000e+01,2.764287249743846431e+01
5.150000000000000000e+01,2.715484661579220571e+01
5.200000000000000000e+01,2.667543689542579699e+01
5.250000000000000000e+01,2.620449077322393805e+01
5.300000000000000000e+01,2.574185926689719395e+01
5.350000000000000000e+01,2.528739515268093641e+01
5.400000000000000000e+01,2.484095466231589455e+01
5.450000000000000000e+01,2.440239572452334471e+01
5.500000000000000000e+01,2.397157960259538712e+01
5.550000000000000000e+01,2.354836919741430279e+01
5.600000000000000000e+01,2.313263062773105716e+01
5.650000000000000000e+01,2.272423159257500203e+01
5.700000000000000000e+01,2.232304289622632965e+01
5.750000000000000000e+01,2.192893686793756913e+01
5.800000000000000000e+01,2.154178883353561247e+01
5.850000000000000000e+01,2.116147559044924620e+01
5.900000000000000000e+01,2.078787682780855306e+01
5.950000000000000000e+01,2.042087365484289307e+01
6.000000000000000000e+01,2.006034997128017494e+01
6.050000000000000000e+01,1.970619104724745796e+01
6.100000000000000000e+01,1.935828484570943075e+01
6.150000000000000000e+01,1.901652065206920383e+01
6.200000000000000000e+01,1.868079035032451785e+01
6.250000000000000000e+01,1.835098710062928973e+01
6.300000000000000000e+01,1.802700657078737834e+01
6.350000000000000000e+01,1.770874566009632645e+01
6.400000000000000000e+01,1.739610368774177118e+01
6.450000000000000000e+01,1.708898116130366063e+01
6.500000000000000000e+01,1.678728092355962076e+01
6.550000000000000000e+01,1.649090696409058410e+01
