x,current_density_dirty
1.295000000000000000e+02,4.911134357655061409e+06
1.300000000000000000e+02,4.908264758521061391e+06
1.305000000000000000e+02,4.905395243669408374e+06
1.310000000000000000e+02,4.902525813050827943e+06
1.315000000000000000e+02,4.899656466616048478e+06
1.320000000000000000e+02,4.896787204315797426e+06
1.325000000000000000e+02,4.893918026100805961e+06
1.330000000000000000e+02,4.891048931921805255e+06
1.335000000000000000e+02,4.888179921729530208e+06
1.340000000000000000e+02,4.885310995474714786e+06
1.345000000000000000e+02,4.882442153108095750e+06
1.350000000000000000e+02,4.879573394580409862e+06
1.355000000000000000e+02,4.876704719842395745e+06
1.360000000000000000e+02,4.873836128844793886e+06
1.365000000000000000e+02,4.870967621538349427e+06
1.370000000000000000e+02,4.868099197873800993e+06
1.375000000000000000e+02,4.865230857801896520e+06
1.380000000000000000e+02,4.862362601273383014e+06
1.385000000000000000e+02,4.859494428239003755e+06
1.390000000000000000e+02,4.856626338649512269e+06
1.395000000000000000e+02,4.853758332455657423e+06
1.400000000000000000e+02,4.850890409608190879e+06
1.405000000000000000e+02,4.848022570057865232e+06
1.410000000000000000e+02,4.845154813755438663e+06
1.415000000000000000e+02,4.842287140651664697e+06
1.420000000000000000e+02,4.839419550697300583e+06
1.425000000000000000e+02,4.836552043843108229e+06
1.430000000000000000e+02,4.833684620039845817e+06
1.435000000000000000e+02,4.830817279238275252e+06
1.440000000000000000e+02,4.827950021389163099e+06
1.445000000000000000e+02,4.825082846443269402e+06
1.450000000000000000e+02,4.822215754351363517e+06
1.455000000000000000e+02,4.819348745064212941e+06
1.460000000000000000e+02,4.816481818532586098e+06
1.465000000000000000e+02,4.813614974707254209e+06
1.470000000000000000e+02,4.810748213538987562e+06
1.475000000000000000e+02,4.807881534978561103e+06
1.480000000000000000e+02,4.805014938976748846e+06
1.485000000000000000e+02,4.802148425484328531e+06
1.490000000000000000e+02,4.799281994452076033e+06
1.495000000000000000e+02,4.796415645830770023e+06
1.500000000000000000e+02,4.793549379571192898e+06
1.505000000000000000e+02,4.790683195624125190e+06
1.510000000000000000e+02,4.787817093940350227e+06
1.515000000000000000e+02,4.784951074470653199e+06
1.520000000000000000e+02,4.782085137165820226e+06
1.525000000000000000e+02,4.779219281976638362e+06
1.530000000000000000e+02,4.776353508853896521e+06
1.535000000000000000e+02,4.773487817748384550e+06
1.540000000000000000e+02,4.770622208610896021e+06
1.545000000000000000e+02,4.767756681392223574e+06
1.550000000000000000e+02,4.764891236043158919e+06
1.555000000000000000e+02,4.762025872514502145e+06
1.560000000000000000e+02,4.759160590757047758e+06
1.565000000000000000e+02,4.756295390721594915e+06
1.570000000000000000e+02,4.753430272358945571e+06
1.575000000000000000e+02,4.750565235619897954e+06
1.580000000000000000e+02,4.747700280455259606e+06
1.585000000000000000e+02,4.744835406815831549e+06
1.590000000000000000e+02,4.741970614652420394e+06
1.595000000000000000e+02,4.739105903915833682e+06
1.600000000000000000e+02,4.736241274556879885e+06
1.605000000000000000e+02,4.733376726526367478e+06
1.610000000000000000e+02,4.730512259775110520e+06
1.615000000000000000e+02,4.727647874253918417e+06
1.620000000000000000e+02,4.724783569913608953e+06
1.625000000000000000e+02,4.721919346704996191e+06
1.630000000000000000e+02,4.719055204578896053e+06
1.635000000000000000e+02,4.716191143486129120e+06
1.640000000000000000e+02,4.713327163377511315e+06
1.645000000000000000e+02,4.710463264203866944e+06
1.650000000000000000e+02,4.707599445916018449e+06
1.655000000000000000e+02,4.704735708464788273e+06
1.660000000000000000e+02,4.701872051801003516e+06
1.665000000000000000e+02,4.699008475875489414e+06
1.670000000000000000e+02,4.696144980639073066e+06
1.675000000000000000e+02,4.693281566042587161e+06
1.680000000000000000e+02,4.690418232036859728e+06
1.685000000000000000e+02,4.687554978572723456e+06
1.690000000000000000e+02,4.684691805601012893e+06
1.695000000000000000e+02,4.681828713072562590e+06
1.700000000000000000e+02,4.678965700938208029e+06
1.705000000000000000e+02,4.676102769148789346e+06
1.710000000000000000e+02,4.673239917655142024e+06
1.715000000000000000e+02,4.670377146408108994e+06
1.720000000000000000e+02,4.667514455358533189e+06
1.725000000000000000e+02,4.664651844457255676e+06
1.730000000000000000e+02,4.661789313655121252e+06
1.735000000000000000e+02,4.658926862902975641e+06
1.740000000000000000e+02,4.656064492151668295e+06
1.745000000000000000e+02,4.653202201352047734e+06
1.750000000000000000e+02,4.650339990454961546e+06
1.755000000000000000e+02,4.647477859411263838e+06
1.760000000000000000e+02,4.644615808171804063e+06
1.765000000000000000e+02,4.641753836687441915e+06
1.770000000000000000e+02,4.638891944909027778e+06
1.775000000000000000e+02,4.636030132787420414e+06
1.780000000000000000e+02,4.633168400273479521e+06
1.785000000000000000e+02,4.630306747318063863e+06
1.790000000000000000e+02,4.627445173872034997e+06
1.795000000000000000e+02,4.624583679886253551e+06
1.800000000000000000e+02,4.621722265311584808e+06
1.805000000000000000e+02,4.618860930098894052e+06
1.810000000000000000e+02,4.615999674199047498e+06
1.815000000000000000e+02,4.613138497562913224e+06
1.820000000000000000e+02,4.610277400141360238e+06
1.825000000000000000e+02,4.607416381885258481e+06
1.830000000000000000e+02,4.604555442745482549e+06
1.835000000000000000e+02,4.601694582672902383e+06
1.840000000000000000e+02,4.598833801618394442e+06
1.845000000000000000e+02,4.595973099532835186e+06
1.850000000000000000e+02,4.593112476367102005e+06
1.855000000000000000e+02,4.590251932072071359e+06
1.860000000000000000e+02,4.587391466598625295e+06
1.865000000000000000e+02,4.584531079897644930e+06
1.870000000000000000e+02,4.581670771920014173e+06
1.875000000000000000e+02,4.578810542616616003e+06
1.880000000000000000e+02,4.575950391938336194e+06
1.885000000000000000e+02,4.573090319836062379e+06
1.890000000000000000e+02,4.570230326260679401e+06
1.895000000000000000e+02,4.567370411163081415e+06
1.900000000000000000e+02,4.564510574494156986e+06
1.905000000000000000e+02,4.561650816204799339e+06
1.910000000000000000e+02,4.558791136245900765e+06
1.915000000000000000e+02,4.555931534568357281e+06
1.920000000000000000e+02,4.553072011123064905e+06
1.925000000000000000e+02,4.550212565860920586e+06
1.930000000000000000e+02,4.547353198732824996e+06
1.935000000000000000e+02,4.544493909689676948e+06
1.940000000000000000e+02,4.541634698682378046e+06
1.945000000000000000e+02,4.538775565661832690e+06
1.950000000000000000e+02,4.535916510578944348e+06
1.955000000000000000e+02,4.533057533384618349e+06
1.960000000000000000e+02,4.530198634029763751e+06
1.965000000000000000e+02,4.527339812465285882e+06
1.970000000000000000e+02,4.524481068642096594e+06
1.975000000000000000e+02,4.521622402511104941e+06
1.980000000000000000e+02,4.518763814023226500e+06
1.985000000000000000e+02,4.515905303129371256e+06
1.990000000000000000e+02,4.513046869780457579e+06
1.995000000000000000e+02,4.510188513927399181e+06
2.000000000000000000e+02,4.507330235521115363e+06
2.005000000000000000e+02,4.504472034512524493e+06
2.010000000000000000e+02,4.501613910852546804e+06
2.015000000000000000e+02,4.498755864492104389e+06
2.020000000000000000e+02,4.495897895382121205e+06
2.025000000000000000e+02,4.493040003473519348e+06
2.030000000000000000e+02,4.490182188717226498e+06
2.035000000000000000e+02,4.487324451064167544e+06
2.040000000000000000e+02,4.484466790465272032e+06
2.045000000000000000e+02,4.481609206871471368e+06
2.050000000000000000e+02,4.478751700233692303e+06
2.055000000000000000e+02,4.475894270502870902e+06
2.060000000000000000e+02,4.473036917629940435e+06
2.065000000000000000e+02,4.470179641565833241e+06
2.070000000000000000e+02,4.467322442261487246e+06
2.075000000000000000e+02,4.464465319667841308e+06
2.080000000000000000e+02,4.461608273735832423e+06
2.085000000000000000e+02,4.458751304416400380e+06
2.090000000000000000e+02,4.455894411660487764e+06
2.095000000000000000e+02,4.453037595419038087e+06
2.100000000000000000e+02,4.450180855642993934e+06
2.105000000000000000e+02,4.447324192283300683e+06
2.110000000000000000e+02,4.444467605290906504e+06
2.115000000000000000e+02,4.441611094616759568e+06
2.120000000000000000e+02,4.438754660211807117e+06
2.125000000000000000e+02,4.435898302027001977e+06
2.130000000000000000e+02,4.433042020013295114e+06
2.135000000000000000e+02,4.430185814121640287e+06
2.140000000000000000e+02,4.427329684302991256e+06
2.145000000000000000e+02,4.424473630508305505e+06
2.150000000000000000e+02,4.421617652688538656e+06
2.155000000000000000e+02,4.418761750794650055e+06
2.160000000000000000e+02,4.415905924777599983e+06
2.165000000000000000e+02,4.413050174588348716e+06
2.170000000000000000e+02,4.410194500177859329e+06
2.175000000000000000e+02,4.407338901497093029e+06
2.180000000000000000e+02,4.404483378497019410e+06
2.185000000000000000e+02,4.401627931128601544e+06
2.190000000000000000e+02,4.398772559342809021e+06
2.195000000000000000e+02,4.395917263090608642e+06
2.200000000000000000e+02,4.393062042322972789e+06
2.205000000000000000e+02,4.390206896990871057e+06
2.210000000000000000e+02,4.387351827045277692e+06
2.215000000000000000e+02,4.384496832437166013e+06
2.220000000000000000e+02,4.381641913117511198e+06
2.225000000000000000e+02,4.378787069037290290e+06
2.230000000000000000e+02,4.375932300147482194e+06
2.235000000000000000e+02,4.373077606399065815e+06
2.240000000000000000e+02,4.370222987743020989e+06
2.245000000000000000e+02,4.367368444130329415e+06
2.250000000000000000e+02,4.364513975511975586e+06
2.255000000000000000e+02,4.361659581838942133e+06
2.260000000000000000e+02,4.358805263062217273e+06
2.265000000000000000e+02,4.355951019132785499e+06
2.270000000000000000e+02,4.353096850001635961e+06
2.275000000000000000e+02,4.350242755619759671e+06
2.280000000000000000e+02,4.347388735938145779e+06
2.285000000000000000e+02,4.344534790907787159e+06
2.290000000000000000e+02,4.341680920479676686e+06
2.295000000000000000e+02,4.338827124604810029e+06
2.300000000000000000e+02,4.335973403234182857e+06
2.305000000000000000e+02,4.333119756318789907e+06
2.310000000000000000e+02,4.330266183809634298e+06
2.315000000000000000e+02,4.327412685657713562e+06
2.320000000000000000e+02,4.324559261814028025e+06
2.325000000000000000e+02,4.321705912229580805e+06
2.330000000000000000e+02,4.318852636855376884e+06
2.335000000000000000e+02,4.315999435642419383e+06
2.340000000000000000e+02,4.313146308541715145e+06
2.345000000000000000e+02,4.310293255504271016e+06
2.350000000000000000e+02,4.307440276481096633e+06
2.355000000000000000e+02,4.304587371423202567e+06
2.360000000000000000e+02,4.301734540281597525e+06
2.365000000000000000e+02,4.298881783007296734e+06
2.370000000000000000e+02,4.296029099551313557e+06
2.375000000000000000e+02,4.293176489864662290e+06
2.380000000000000000e+02,4.290323953898360021e+06
2.385000000000000000e+02,4.287471491603423841e+06
2.390000000000000000e+02,4.284619102930871770e+06
2.395000000000000000e+02,4.281766787831726484e+06
2.400000000000000000e+02,4.278914546257007867e+06
2.405000000000000000e+02,4.276062378157737665e+06
2.410000000000000000e+02,4.273210283484941348e+06
2.415000000000000000e+02,4.270358262189645320e+06
2.420000000000000000e+02,4.267506314222871326e+06
2.425000000000000000e+02,4.264654439535652287e+06
2.430000000000000000e+02,4.261802638079014607e+06
2.435000000000000000e+02,4.258950909803989343e+06
2.440000000000000000e+02,4.256099254661606625e+06
2.445000000000000000e+02,4.253247672602900304e+06
2.450000000000000000e+02,4.250396163578904234e+06
2.455000000000000000e+02,4.247544727540655062e+06
2.460000000000000000e+02,4.244693364439186640e+06
2.465000000000000000e+02,4.241842074225539342e+06
2.470000000000000000e+02,4.238990856850750744e+06
2.475000000000000000e+02,4.236139712265859358e+06
2.480000000000000000e+02,4.233288640421910211e+06
2.485000000000000000e+02,4.230437641269943677e+06
2.490000000000000000e+02,4.227586714761007577e+06
2.495000000000000000e+02,4.224735860846141353e+06
2.500000000000000000e+02,4.221885079476394691e+06
2.505000000000000000e+02,4.219034370602816343e+06
2.510000000000000000e+02,4.216183734176454134e+06
2.515000000000000000e+02,4.213333170148356818e+06
2.520000000000000000e+02,4.210482678469577804e+06
2.525000000000000000e+02,4.207632259091169573e+06
2.530000000000000000e+02,4.204781911964185536e+06
2.535000000000000000e+02,4.201931637039681897e+06
2.540000000000000000e+02,4.199081434268712997e+06
2.545000000000000000e+02,4.196231303602338769e+06
2.550000000000000000e+02,4.193381244991618209e+06
2.555000000000000000e+02,4.190531258387610316e+06
2.560000000000000000e+02,4.187681343741375953e+06
2.565000000000000000e+02,4.184831501003980171e+06
2.570000000000000000e+02,4.181981730126483832e+06
2.575000000000000000e+02,4.179132031059955247e+06
2.580000000000000000e+02,4.176282403755457606e+06
2.585000000000000000e+02,4.173432848164059687e+06
2.590000000000000000e+02,4.170583364236830734e+06
2.595000000000000000e+02,4.167733951924841385e+06
2.600000000000000000e+02,4.164884611179162282e+06
2.605000000000000000e+02,4.162035341950864531e+06
2.610000000000000000e+02,4.159186144191024825e+06
2.615000000000000000e+02,4.156337017850715201e+06
2.620000000000000000e+02,4.153487962881012354e+06
2.625000000000000000e+02,4.150638979232996237e+06
2.630000000000000000e+02,4.147790066857742146e+06
2.635000000000000000e+02,4.144941225706332829e+06
2.640000000000000000e+02,4.142092455729846843e+06
2.645000000000000000e+02,4.139243756879367866e+06
2.650000000000000000e+02,4.136395129105978645e+06
2.655000000000000000e+02,4.133546572360764723e+06
2.660000000000000000e+02,4.130698086594812106e+06
2.665000000000000000e+02,4.127849671759209130e+06
2.670000000000000000e+02,4.125001327805040404e+06
2.675000000000000000e+02,4.122153054683397990e+06
2.680000000000000000e+02,4.119304852345373482e+06
2.685000000000000000e+02,4.116456720742058009e+06
2.690000000000000000e+02,4.113608659824544098e+06
2.695000000000000000e+02,4.110760669543927535e+06
2.700000000000000000e+02,4.107912749851303175e+06
2.705000000000000000e+02,4.105064900697769132e+06
2.710000000000000000e+02,4.102217122034421191e+06
2.715000000000000000e+02,4.099369413812360261e+06
2.720000000000000000e+02,4.096521775982687250e+06
2.725000000000000000e+02,4.093674208496503998e+06
2.730000000000000000e+02,4.090826711304911878e+06
2.735000000000000000e+02,4.087979284359015524e+06
2.740000000000000000e+02,4.085131927609920502e+06
2.745000000000000000e+02,4.082284641008734703e+06
2.750000000000000000e+02,4.079437424506565090e+06
2.755000000000000000e+02,4.076590278054519091e+06
2.760000000000000000e+02,4.073743201603708789e+06
2.765000000000000000e+02,4.070896195105245337e+06
2.770000000000000000e+02,4.068049258510240354e+06
2.775000000000000000e+02,4.065202391769807786e+06
2.780000000000000000e+02,4.062355594835063908e+06
2.785000000000000000e+02,4.059508867657123599e+06
2.790000000000000000e+02,4.056662210187104531e+06
2.795000000000000000e+02,4.053815622376124840e+06
2.800000000000000000e+02,4.050969104175305925e+06
2.805000000000000000e+02,4.048122655535766389e+06
2.810000000000000000e+02,4.045276276408631355e+06
2.815000000000000000e+02,4.042429966745021753e+06
2.820000000000000000e+02,4.039583726496062241e+06
2.825000000000000000e+02,4.036737555612879340e+06
2.830000000000000000e+02,4.033891454046600033e+06
2.835000000000000000e+02,4.031045421748352703e+06
2.840000000000000000e+02,4.028199458669266198e+06
2.845000000000000000e+02,4.025353564760470297e+06
2.850000000000000000e+02,4.022507739973098040e+06
2.855000000000000000e+02,4.019661984258281998e+06
2.860000000000000000e+02,4.016816297567155212e+06
2.865000000000000000e+02,4.013970679850853048e+06
2.870000000000000000e+02,4.011125131060513668e+06
2.875000000000000000e+02,4.008279651147272903e+06
2.880000000000000000e+02,4.005434240062269848e+06
2.885000000000000000e+02,4.002588897756645456e+06
2.890000000000000000e+02,3.999743624181539752e+06
2.895000000000000000e+02,3.996898419288095552e+06
2.900000000000000000e+02,3.994053283027457073e+06
2.905000000000000000e+02,3.991208215350767598e+06
