x,current_density_corrected
4.750000000000000000e+01,8.877194865617474365e+10
4.800000000000000000e+01,8.720470964047402954e+10
4.850000000000000000e+01,8.566513898587068176e+10
4.900000000000000000e+01,8.415274965414520264e+10
4.950000000000000000e+01,8.266706035587396240e+10
5.000000000000000000e+01,8.120760109803103638e+10
5.050000000000000000e+01,7.977390743519203186e+10
5.100000000000000000e+01,7.836552582298289490e+10
5.150000000000000000e+01,7.698200807047805786e+10
5.200000000000000000e+01,7.562291650629115295e+10
5.250000000000000000e+01,7.428781862512617493e+10
5.300000000000000000e+01,7.297629207306712341e+10
5.350000000000000000e+01,7.168791948148736572e+10
5.400000000000000000e+01,7.042229327786585999e+10
5.450000000000000000e+01,6.917901070049745178e+10
5.500000000000000000e+01,6.795767844094187164e+10
5.550000000000000000e+01,6.675790783320759583e+10
5.600000000000000000e+01,6.557931933372578430e+10
5.650000000000000000e+01,6.442153787890164185e+10
5.700000000000000000e+01,6.328419720829967499e+10
5.750000000000000000e+01,6.216693538466980743e+10
5.800000000000000000e+01,6.106939896583147430e+10
5.850000000000000000e+01,5.999123868148805237e+10
5.900000000000000000e+01,5.893211345910507965e+10
5.950000000000000000e+01,5.789168625202584839e+10
6.000000000000000000e+01,5.686962792445337677e+10
6.050000000000000000e+01,5.586561322557221222e+10
6.100000000000000000e+01,5.487932453856508636e+10
6.150000000000000000e+01,5.391044799563106537e+10
6.200000000000000000e+01,5.295867709579535675e+10
6.250000000000000000e+01,5.202370895589274597e+10
6.300000000000000000e+01,5.110524780176258087e+10
6.350000000000000000e+01,5.020300135043894196e+10
6.400000000000000000e+01,4.931668417916200256e+10
6.450000000000000000e+01,4.844601423418302155e+10
6.500000000000000000e+01,4.759071608186830139e+10
6.550000000000000000e+01,4.675051753968774414e+10
