x,suppression_factor
1.605000000000000000e+02,1.264803671032962740e+02
1.610000000000000000e+02,1.287534664216894669e+02
1.615000000000000000e+02,1.310674188757207617e+02
1.620000000000000000e+02,1.334229564767986744e+02
1.625000000000000000e+02,1.358208288304054179e+02
1.630000000000000000e+02,1.382617944957394513e+02
1.635000000000000000e+02,1.407466302641556695e+02
1.640000000000000000e+02,1.432761222054488144e+02
1.645000000000000000e+02,1.458510752827939996e+02
1.650000000000000000e+02,1.484723040743065212e+02
1.655000000000000000e+02,1.511406427366864307e+02
1.660000000000000000e+02,1.538569353902780961e+02
1.665000000000000000e+02,1.566220464440656315e+02
1.670000000000000000e+02,1.594368506320277845e+02
1.675000000000000000e+02,1.623022437125891599e+02
1.680000000000000000e+02,1.652191321436249609e+02
1.685000000000000000e+02,1.681884441699477861e+02
1.690000000000000000e+02,1.712111191238564913e+02
1.695000000000000000e+02,1.742881189147325074e+02
1.700000000000000000e+02,1.774204169415523324e+02
1.705000000000000000e+02,1.806090099991758677e+02
1.710000000000000000e+02,1.838549067887503554e+02
1.715000000000000000e+02,1.871591402558025834e+02
1.720000000000000000e+02,1.905227556839509191e+02
1.725000000000000000e+02,1.939468234804621147e+02
1.730000000000000000e+02,1.974324268381587331e+02
1.735000000000000000e+02,2.009806749846688945e+02
1.740000000000000000e+02,2.045926903968691590e+02
1.745000000000000000e+02,2.082696225306432041e+02
1.750000000000000000e+02,2.120126345716326455e+02
1.755000000000000000e+02,2.158229176629314736e+02
1.760000000000000000e+02,2.197016771753273190e+02
1.765000000000000000e+02,2.236501474509906302e+02
1.770000000000000000e+02,2.276695775757797264e+02
1.775000000000000000e+02,2.317612466576383667e+02
1.780000000000000000e+02,2.359264490829062595e+02
1.785000000000000000e+02,2.401665103488165869e+02
1.790000000000000000e+02,2.444827717850986915e+02
1.795000000000000000e+02,2.488766069606711824e+02
1.800000000000000000e+02,2.533494058511446667e+02
1.805000000000000000e+02,2.579025918405346829e+02
1.810000000000000000e+02,2.625376053145686797e+02
1.815000000000000000e+02,2.672559212789986418e+02
1.820000000000000000e+02,2.720590323578879861e+02
1.825000000000000000e+02,2.769484670508856539e+02
1.830000000000000000e+02,2.819257721149140252e+02
1.835000000000000000e+02,2.869925314835774088e+02
1.840000000000000000e+02,2.921503480098882051e+02
