x,screening_profile_corrected
2.400000000000000000e+01,6.636956532347272741e+01
2.450000000000000000e+01,6.574897396764801272e+01
2.500000000000000000e+01,6.513029043987833688e+01
2.550000000000000000e+01,6.451347242630667722e+01
2.600000000000000000e+01,6.389848076315969649e+01
2.650000000000000000e+01,6.328527945276174194e+01
2.700000000000000000e+01,6.267383567947013745e+01
2.750000000000000000e+01,6.206411982531371052e+01
2.800000000000000000e+01,6.145610548510611437e+01
2.850000000000000000e+01,6.084976948079411585e+01
2.900000000000000000e+01,6.024509187479009142e+01
2.950000000000000000e+01,5.964205598202803316e+01
3.000000000000000000e+01,5.904064838047260366e+01
3.050000000000000000e+01,5.844085891980169833e+01
3.100000000000000000e+01,5.784268072797502924e+01
3.150000000000000000e+01,5.724611021539417521e+01
3.200000000000000000e+01,5.665114707635331115e+01
3.250000000000000000e+01,5.605779428747558057e+01
3.300000000000000000e+01,5.546605810282640903e+01
3.350000000000000000e+01,5.487594804539379822e+01
3.400000000000000000e+01,5.428747689462566228e+01
3.450000000000000000e+01,5.370066066971621410e+01
3.500000000000000000e+01,5.311551860833787231e+01
3.550000000000000000e+01,5.253207314052117738e+01
3.600000000000000000e+01,5.195034985739415134e+01
3.650000000000000000e+01,5.137037747450374781e+01
3.700000000000000000e+01,5.079218778945560331e+01
3.750000000000000000e+01,5.021581563362494194e+01
3.800000000000000000e+01,4.964129881771066977e+01
3.850000000000000000e+01,4.906867807092655198e+01
3.900000000000000000e+01,4.849799697364822038e+01
3.950000000000000000e+01,4.792930188336235631e+01
4.000000000000000000e+01,4.736264185379463498e+01
4.050000000000000000e+01,4.679806854712597897e+01
4.100000000000000000e+01,4.623563613924224569e+01
4.150000000000000000e+01,4.567540121800032438e+01
4.200000000000000000e+01,4.511742267453362842e+01
4.250000000000000000e+01,4.456176158766216844e+01
4.300000000000000000e+01,4.400848110151599712e+01
4.350000000000000000e+01,4.345764629652579458e+01
4.400000000000000000e+01,4.290932405398077520e+01
4.450000000000000000e+01,4.236358291440038926e+01
4.500000000000000000e+01,4.182049293001359302e+01
4.550000000000000000e+01,4.128012551168594513e+01
4.600000000000000000e+01,4.074255327068085109e+01
4.650000000000000000e+01,4.020784985568610637e+01
4.700000000000000000e+01,3.967608978558008204e+01
4.750000000000000000e+01,3.914734827845279597e+01
4.800000000000000000e+01,3.862170107743555292e+01
4.850000000000000000e+01,3.809922427392801580e+01
4.900000000000000000e+01,3.757999412884325352e+01
4.950000000000000000e+01,3.706408689251868793e+01
5.000000000000000000e+01,3.655157862396451662e+01
5.050000000000000000e+01,3.604254501013910783e+01
5.100000000000000000e+01,3.553706118595455621e+01
5.150000000000000000e+01,3.503520155572359585e+01
5.200000000000000000e+01,3.453703961676140466e+01
5.250000000000000000e+01,3.404264778585310580e+01
5.300000000000000000e+01,3.355209722928854887e+01
5.350000000000000000e+01,3.306545769715214078e+01
5.400000000000000000e+01,3.258279736253483350e+01
5.450000000000000000e+01,3.210418266631066331e+01
5.500000000000000000e+01,3.162967816808916410e+01
5.550000000000000000e+01,3.115934640391983379e+01
5.600000000000000000e+01,3.069324775128488625e+01
5.650000000000000000e+01,3.023144030187231834e+01
5.700000000000000000e+01,2.977397974257391411e+01
5.750000000000000000e+01,2.932091924510170600e+01
5.800000000000000000e+01,2.887230936456343500e+01
5.850000000000000000e+01,2.842819794728179161e+01
5.900000000000000000e+01,2.798863004808568888e+01
5.950000000000000000e+01,2.755364785724413323e+01
6.000000000000000000e+01,2.712329063715520761e+01
6.050000000000000000e+01,2.669759466884544352e+01
6.100000000000000000e+01,2.627659320827791589e+01
6.150000000000000000e+01,2.586031645241239474e+01
6.200000000000000000e+01,2.544879151490743752e+01
6.250000000000000000e+01,2.504204241130352671e+01
6.300000000000000000e+01,2.464009005347819325e+01
6.350000000000000000e+01,2.424295256398374576e+01
6.400000000000000000e+01,2.385064446300232177e+01
6.450000000000000000e+01,2.346317790635633216e+01
6.500000000000000000e+01,2.308056099981002518e+01
6.550000000000000000e+01,2.270279984582279198e+01
