x,current_suppression_factor
9.400000000000000000e+01,2.568838712639590849e+00
9.450000000000000000e+01,2.570269009692708995e+00
9.500000000000000000e+01,2.571700124693272027e+00
9.550000000000000000e+01,2.573132014944595980e+00
9.600000000000000000e+01,2.574564724054471121e+00
9.650000000000000000e+01,2.575998209278653750e+00
9.700000000000000000e+01,2.577432514273506392e+00
9.750000000000000000e+01,2.578867596247177651e+00
9.800000000000000000e+01,2.580303498904656934e+00
9.850000000000000000e+01,2.581740179406423863e+00
9.900000000000000000e+01,2.583177681506154233e+00
9.950000000000000000e+01,2.584615962316606730e+00
1.000000000000000000e+02,2.586055065640195938e+00
1.005000000000000000e+02,2.587494948541908979e+00
1.010000000000000000e+02,2.588935654872948522e+00
1.015000000000000000e+02,2.590377141650478610e+00
1.020000000000000000e+02,2.591819452774548171e+00
1.025000000000000000e+02,2.593262545214442660e+00
1.030000000000000000e+02,2.594706462919110113e+00
1.035000000000000000e+02,2.596151162809904989e+00
1.040000000000000000e+02,2.597596688884730831e+00
1.045000000000000000e+02,2.599042998016955597e+00
1.050000000000000000e+02,2.600490134253490293e+00
1.055000000000000000e+02,2.601938054419668411e+00
1.060000000000000000e+02,2.603386802611461270e+00
1.065000000000000000e+02,2.604836335606109721e+00
1.070000000000000000e+02,2.606286697548707121e+00
1.075000000000000000e+02,2.607737845168346613e+00
1.080000000000000000e+02,2.609189822659295110e+00
1.085000000000000000e+02,2.610642586702445644e+00
1.090000000000000000e+02,2.612096181541293305e+00
1.095000000000000000e+02,2.613550563808476834e+00
1.100000000000000000e+02,2.615005777796776343e+00
1.105000000000000000e+02,2.616461780090523881e+00
1.110000000000000000e+02,2.617918615031833429e+00
1.115000000000000000e+02,2.619376239156680164e+00
1.120000000000000000e+02,2.620834696856570556e+00
1.125000000000000000e+02,2.622293944619063399e+00
1.130000000000000000e+02,2.623754026885113166e+00
1.135000000000000000e+02,2.625214900093811199e+00
1.140000000000000000e+02,2.626676608735614149e+00
1.145000000000000000e+02,2.628139109201089507e+00
1.150000000000000000e+02,2.629602446030254725e+00
1.155000000000000000e+02,2.631066575565100596e+00
1.160000000000000000e+02,2.632531542395252888e+00
1.165000000000000000e+02,2.633997302814076846e+00
1.170000000000000000e+02,2.635463901460866509e+00
1.175000000000000000e+02,2.636931294580299401e+00
1.180000000000000000e+02,2.638399526861394229e+00
1.185000000000000000e+02,2.639868554500088838e+00
1.190000000000000000e+02,2.641338422235183003e+00
1.195000000000000000e+02,2.642809086213821157e+00
1.200000000000000000e+02,2.644280591224636989e+00
1.205000000000000000e+02,2.645752893365926006e+00
1.210000000000000000e+02,2.647226037476211324e+00
1.215000000000000000e+02,2.648699979604891119e+00
1.220000000000000000e+02,2.650174764640429448e+00
1.225000000000000000e+02,2.651650348583266759e+00
1.230000000000000000e+02,2.653126776371872442e+00
1.235000000000000000e+02,2.654604003957677261e+00
1.240000000000000000e+02,2.656082076329203900e+00
1.245000000000000000e+02,2.657560949388816596e+00
1.250000000000000000e+02,2.659040668175153943e+00
1.255000000000000000e+02,2.660521188541457693e+00
1.260000000000000000e+02,2.662002555576533869e+00
1.265000000000000000e+02,2.663484725084452442e+00
1.270000000000000000e+02,2.664967742204241929e+00
1.275000000000000000e+02,2.666451562690742350e+00
1.280000000000000000e+02,2.667936231733263330e+00
1.285000000000000000e+02,2.669421705037359427e+00
1.290000000000000000e+02,2.670908027842677335e+00
1.295000000000000000e+02,2.672395155805431965e+00
1.300000000000000000e+02,2.673883134215661261e+00
1.305000000000000000e+02,2.675371918680188532e+00
1.310000000000000000e+02,2.676861554539496701e+00
1.315000000000000000e+02,2.678351997350960634e+00
1.320000000000000000e+02,2.679843292505569519e+00
1.325000000000000000e+02,2.681335395511192488e+00
1.330000000000000000e+02,2.682828351809379619e+00
1.335000000000000000e+02,2.684322116858440133e+00
1.340000000000000000e+02,2.685816736150542283e+00
1.345000000000000000e+02,2.687312165094380312e+00
1.350000000000000000e+02,2.688808449232795272e+00
1.355000000000000000e+02,2.690305543924810916e+00
1.360000000000000000e+02,2.691803494763998827e+00
1.365000000000000000e+02,2.693302257059658089e+00
1.370000000000000000e+02,2.694801876456146772e+00
1.375000000000000000e+02,2.696302308212982446e+00
1.380000000000000000e+02,2.697803598025364735e+00
1.385000000000000000e+02,2.699305701102978627e+00
1.390000000000000000e+02,2.700808663191921699e+00
1.395000000000000000e+02,2.702312439451985071e+00
1.400000000000000000e+02,2.703817075680226001e+00
1.405000000000000000e+02,2.705322526986486675e+00
1.410000000000000000e+02,2.706828839218836436e+00
1.415000000000000000e+02,2.708335967437117908e+00
1.420000000000000000e+02,2.709843957540467585e+00
1.425000000000000000e+02,2.711352764538668580e+00
1.430000000000000000e+02,2.712862434381987153e+00
1.435000000000000000e+02,2.714372922030090951e+00
1.440000000000000000e+02,2.715884273484427958e+00
1.445000000000000000e+02,2.717396443654499283e+00
1.450000000000000000e+02,2.718909478592991924e+00
1.455000000000000000e+02,2.720423333159179169e+00
1.460000000000000000e+02,2.721938053457047868e+00
1.465000000000000000e+02,2.723453594295588864e+00
1.470000000000000000e+02,2.724970001830144817e+00
1.475000000000000000e+02,2.726487230819366836e+00
1.480000000000000000e+02,2.728005327470011121e+00
1.485000000000000000e+02,2.729524246490333983e+00
1.490000000000000000e+02,2.731044034138562449e+00
1.495000000000000000e+02,2.732564645072500298e+00
1.500000000000000000e+02,2.734086125601901340e+00
1.505000000000000000e+02,2.735608430334067087e+00
1.510000000000000000e+02,2.737131605630331421e+00
1.515000000000000000e+02,2.738655606047432745e+00
1.520000000000000000e+02,2.740180477998349406e+00
1.525000000000000000e+02,2.741706175989199856e+00
1.530000000000000000e+02,2.743232746484660645e+00
1.535000000000000000e+02,2.744760143940175645e+00
1.540000000000000000e+02,2.746288414872178674e+00
1.545000000000000000e+02,2.747817513685380408e+00
1.550000000000000000e+02,2.749347486948029662e+00
1.555000000000000000e+02,2.750878289014049294e+00
1.560000000000000000e+02,2.752409966503558625e+00
1.565000000000000000e+02,2.753942473719637629e+00
1.570000000000000000e+02,2.755475857334336087e+00
1.575000000000000000e+02,2.757010071599828915e+00
1.580000000000000000e+02,2.758545163240154086e+00
1.585000000000000000e+02,2.760081086456531718e+00
1.590000000000000000e+02,2.761617888025045708e+00
1.595000000000000000e+02,2.763155522095899208e+00
1.600000000000000000e+02,2.764694035497277547e+00
1.605000000000000000e+02,2.766233382328314061e+00
1.610000000000000000e+02,2.767773609469355911e+00
1.615000000000000000e+02,2.769314670968407999e+00
1.620000000000000000e+02,2.770856613758037046e+00
1.625000000000000000e+02,2.772399391835060456e+00
1.630000000000000000e+02,2.773943052184325797e+00
1.635000000000000000e+02,2.775487548751406575e+00
1.640000000000000000e+02,2.777032928573486270e+00
1.645000000000000000e+02,2.778579145544838536e+00
1.650000000000000000e+02,2.780126246755040498e+00
1.655000000000000000e+02,2.781674186047011332e+00
1.660000000000000000e+02,2.783223010562779542e+00
1.665000000000000000e+02,2.784772674093849432e+00
1.670000000000000000e+02,2.786323223834762164e+00
1.675000000000000000e+02,2.787874613525549883e+00
1.680000000000000000e+02,2.789426890413322813e+00
1.685000000000000000e+02,2.790980008186585870e+00
1.690000000000000000e+02,2.792534014145076515e+00
1.695000000000000000e+02,2.794088861925714706e+00
1.700000000000000000e+02,2.795644598880924203e+00
1.705000000000000000e+02,2.797201178595980497e+00
1.710000000000000000e+02,2.798758648476053157e+00
1.715000000000000000e+02,2.800316962054716807e+00
1.720000000000000000e+02,2.801876166789946332e+00
1.725000000000000000e+02,2.803436216163557759e+00
1.730000000000000000e+02,2.804997157686389020e+00
1.735000000000000000e+02,2.806558944788437593e+00
1.740000000000000000e+02,2.808121625033463964e+00
1.745000000000000000e+02,2.809685151799594216e+00
1.750000000000000000e+02,2.811249572703568234e+00
1.755000000000000000e+02,2.812814841071579419e+00
1.760000000000000000e+02,2.814381004573409673e+00
1.765000000000000000e+02,2.815948016483259764e+00
1.770000000000000000e+02,2.817515924524013116e+00
1.775000000000000000e+02,2.819084681917823687e+00
1.780000000000000000e+02,2.820654336440730159e+00
1.785000000000000000e+02,2.822224841262782391e+00
1.790000000000000000e+02,2.823796244213237383e+00
1.795000000000000000e+02,2.825368498409980500e+00
1.800000000000000000e+02,2.826941651735544792e+00
1.805000000000000000e+02,2.828515657255595617e+00
1.810000000000000000e+02,2.830090562906000695e+00
1.815000000000000000e+02,2.831666321700145872e+00
1.820000000000000000e+02,2.833242981627293489e+00
1.825000000000000000e+02,2.834820495648493921e+00
1.830000000000000000e+02,2.836398911806462309e+00
1.835000000000000000e+02,2.837978183009852717e+00
1.840000000000000000e+02,2.839558357354895701e+00
1.845000000000000000e+02,2.841139387697788621e+00
1.850000000000000000e+02,2.842721322188339172e+00
1.855000000000000000e+02,2.844304113630229391e+00
1.860000000000000000e+02,2.845887810226900516e+00
1.865000000000000000e+02,2.847472364729463745e+00
1.870000000000000000e+02,2.849057825395053811e+00
1.875000000000000000e+02,2.850644144922152012e+00
1.880000000000000000e+02,2.852231371621645639e+00
1.885000000000000000e+02,2.853819458139327914e+00
1.890000000000000000e+02,2.855408452839898192e+00
