x,current_density
1.040000000000000000e+02,1.564403178568506241e+10
1.045000000000000000e+02,1.535928958492725372e+10
1.050000000000000000e+02,1.507973021430431938e+10
1.055000000000000000e+02,1.480525905323290825e+10
1.060000000000000000e+02,1.453578377054189873e+10
1.065000000000000000e+02,1.427121315874149132e+10
1.070000000000000000e+02,1.401145821717187881e+10
1.075000000000000000e+02,1.375643102832185936e+10
1.080000000000000000e+02,1.350604580190686417e+10
1.085000000000000000e+02,1.326021779172027588e+10
1.090000000000000000e+02,1.301886430205013847e+10
1.095000000000000000e+02,1.278190364360113525e+10
1.100000000000000000e+02,1.254925610360848045e+10
1.105000000000000000e+02,1.232084293942119217e+10
1.110000000000000000e+02,1.209658731362266541e+10
1.115000000000000000e+02,1.187641332391678429e+10
1.120000000000000000e+02,1.166024690451739883e+10
1.125000000000000000e+02,1.144801489102776718e+10
1.130000000000000000e+02,1.123964588931570816e+10
1.135000000000000000e+02,1.103506937412409782e+10
1.140000000000000000e+02,1.083421652660451126e+10
1.145000000000000000e+02,1.063701936544207382e+10
1.150000000000000000e+02,1.044341155417812347e+10
1.155000000000000000e+02,1.025332756367656898e+10
1.160000000000000000e+02,1.006670345032531357e+10
1.165000000000000000e+02,9.883476048713615417e+09
1.170000000000000000e+02,9.703583721762718201e+09
1.175000000000000000e+02,9.526965582524427414e+09
1.180000000000000000e+02,9.353562217253513336e+09
1.185000000000000000e+02,9.183314935277076721e+09
1.190000000000000000e+02,9.016166465984743118e+09
1.195000000000000000e+02,8.852060235756267548e+09
1.200000000000000000e+02,8.690941039810325623e+09
1.205000000000000000e+02,8.532754345214345932e+09
1.210000000000000000e+02,8.377446938498791695e+09
1.215000000000000000e+02,8.224966253808375359e+09
1.220000000000000000e+02,8.075260997156008720e+09
1.225000000000000000e+02,7.928280498808525085e+09
1.230000000000000000e+02,7.783975315022933960e+09
1.235000000000000000e+02,7.642296603792481422e+09
1.240000000000000000e+02,7.503196704877452850e+09
1.245000000000000000e+02,7.366628538068912506e+09
1.250000000000000000e+02,7.232546162297021866e+09
1.255000000000000000e+02,7.100904195600216866e+09
1.260000000000000000e+02,6.971658354065732956e+09
1.265000000000000000e+02,6.844764892721280098e+09
1.270000000000000000e+02,6.720181125035243034e+09
1.275000000000000000e+02,6.597864883976172447e+09
1.280000000000000000e+02,6.477775022773891449e+09
1.285000000000000000e+02,6.359870895419305801e+09
1.290000000000000000e+02,6.244112839362379074e+09
1.295000000000000000e+02,6.130461674751027107e+09
1.300000000000000000e+02,6.018879169717508316e+09
1.305000000000000000e+02,5.909327557680454254e+09
1.310000000000000000e+02,5.801769985847762108e+09
1.315000000000000000e+02,5.696170049930185318e+09
1.320000000000000000e+02,5.592492226466109276e+09
1.325000000000000000e+02,5.490701424318673134e+09
1.330000000000000000e+02,5.390763401405988693e+09
1.335000000000000000e+02,5.292644332376381874e+09
1.340000000000000000e+02,5.196311210306583405e+09
1.345000000000000000e+02,5.101731429971499443e+09
1.350000000000000000e+02,5.008873175052618980e+09
1.355000000000000000e+02,4.917705016439804077e+09
1.360000000000000000e+02,4.828196285472564697e+09
1.365000000000000000e+02,4.740316686731648445e+09
1.370000000000000000e+02,4.654036657816992760e+09
1.375000000000000000e+02,4.569326996106452942e+09
1.380000000000000000e+02,4.486159205556069374e+09
1.385000000000000000e+02,4.404505136922124863e+09
1.390000000000000000e+02,4.324337322051847458e+09
1.395000000000000000e+02,4.245628627083144188e+09
1.400000000000000000e+02,4.168352574676993370e+09
1.405000000000000000e+02,4.092483009726730824e+09
1.410000000000000000e+02,4.017994409967076778e+09
