x,oxygen_diffusion_profile
3.750000000000000000e+01,8.285617731688163512e-02
3.800000000000000000e+01,7.958674322059612616e-02
3.850000000000000000e+01,7.640651854567276358e-02
3.900000000000000000e+01,7.331517351687708017e-02
3.950000000000000000e+01,7.031225722094311403e-02
4.000000000000000000e+01,6.739720328410568617e-02
4.050000000000000000e+01,6.456933562098397805e-02
4.100000000000000000e+01,6.182787423407656163e-02
4.150000000000000000e+01,5.917194104384013165e-02
4.200000000000000000e+01,5.660056573000474267e-02
4.250000000000000000e+01,5.411269156556397508e-02
4.300000000000000000e+01,5.170718122569163688e-02
4.350000000000000000e+01,4.938282255467536103e-02
4.400000000000000000e+01,4.713833427485568384e-02
4.450000000000000000e+01,4.497237162245788095e-02
4.500000000000000000e+01,4.288353189614897698e-02
4.550000000000000000e+01,4.087035990508811750e-02
4.600000000000000000e+01,3.893135330421950563e-02
4.650000000000000000e+01,3.706496780550418840e-02
4.700000000000000000e+01,3.526962225477480589e-02
4.750000000000000000e+01,3.354370356485329024e-02
4.800000000000000000e+01,3.188557149653618861e-02
4.850000000000000000e+01,3.029356328000690213e-02
4.900000000000000000e+01,2.876599807015271099e-02
4.950000000000000000e+01,2.730118123019902726e-02
5.000000000000000000e+01,2.589740843895089670e-02
5.050000000000000000e+01,2.455296961780915194e-02
5.100000000000000000e+01,2.326615267456554753e-02
5.150000000000000000e+01,2.203524706179458767e-02
5.200000000000000000e+01,2.085854714842939883e-02
5.250000000000000000e+01,1.973435540386783704e-02
5.300000000000000000e+01,1.866098539464320846e-02
5.350000000000000000e+01,1.763676459438057870e-02
5.400000000000000000e+01,1.666003700838037879e-02
5.450000000000000000e+01,1.572916561476929431e-02
5.500000000000000000e+01,1.484253462470618880e-02
5.550000000000000000e+01,1.399855156464619756e-02
5.600000000000000000e+01,1.319564918413362875e-02
5.650000000000000000e+01,1.243228719302970006e-02
5.700000000000000000e+01,1.170695383246624609e-02
5.750000000000000000e+01,1.101816728417351517e-02
5.800000000000000000e+01,1.036447692313646231e-02
5.850000000000000000e+01,9.744464418812407921e-03
5.900000000000000000e+01,9.156744690376219381e-03
5.950000000000000000e+01,8.599966721659874774e-03
6.000000000000000000e+01,8.072814241621574516e-03
6.050000000000000000e+01,7.574006276305993157e-03
6.100000000000000000e+01,7.102297578361485043e-03
6.150000000000000000e+01,6.656478940245329039e-03
6.200000000000000000e+01,6.235377397289974637e-03
6.250000000000000000e+01,5.837856326813113672e-03
6.300000000000000000e+01,5.462815449441362804e-03
6.350000000000000000e+01,5.109190738778966387e-03
6.400000000000000000e+01,4.775954245491212218e-03
6.450000000000000000e+01,4.462113841791714650e-03
6.500000000000000000e+01,4.166712892220684854e-03
6.550000000000000000e+01,3.888829856483377607e-03
6.600000000000000000e+01,3.627577829983953846e-03
6.650000000000000000e+01,3.382104027541311606e-03
6.700000000000000000e+01,3.151589215612943945e-03
6.750000000000000000e+01,2.935247098180998691e-03
6.800000000000000000e+01,2.732323661273483497e-03
6.850000000000000000e+01,2.542096480904251082e-03
6.900000000000000000e+01,2.363873999020187598e-03
6.950000000000000000e+01,2.196994771841987316e-03
7.000000000000000000e+01,2.040826694781344795e-03
7.050000000000000000e+01,1.894766207908079626e-03
7.100000000000000000e+01,1.758237485733297285e-03
7.150000000000000000e+01,1.630691614862764087e-03
7.200000000000000000e+01,1.511605762867150810e-03
7.250000000000000000e+01,1.400482341506819987e-03
7.300000000000000000e+01,1.296848167243029940e-03
7.350000000000000000e+01,1.200253621765338952e-03
7.400000000000000000e+01,1.110271815065152004e-03
