x,screening_profile_corrected
6.900000000000000000e+01,1.908537876544605894e+01
6.950000000000000000e+01,1.874857132085043432e+01
7.000000000000000000e+01,1.841757149680014294e+01
7.050000000000000000e+01,1.809241528995725190e+01
7.100000000000000000e+01,1.777299975881346228e+01
7.150000000000000000e+01,1.745922325539120123e+01
7.200000000000000000e+01,1.715098651750390246e+01
7.250000000000000000e+01,1.684819145461441536e+01
7.300000000000000000e+01,1.655074227847953594e+01
7.350000000000000000e+01,1.625854433150049516e+01
7.400000000000000000e+01,1.597150517779757983e+01
7.450000000000000000e+01,1.568953347256561770e+01
7.500000000000000000e+01,1.541254001496355031e+01
7.550000000000000000e+01,1.514043665703980679e+01
7.600000000000000000e+01,1.487313731977323350e+01
7.650000000000000000e+01,1.461055694018349094e+01
7.700000000000000000e+01,1.435261245181295919e+01
7.750000000000000000e+01,1.409922176868579591e+01
7.800000000000000000e+01,1.385030473147525498e+01
7.850000000000000000e+01,1.360578212702183087e+01
7.900000000000000000e+01,1.336557660138691972e+01
7.950000000000000000e+01,1.312961171368550950e+01
8.000000000000000000e+01,1.289781281718513561e+01
8.050000000000000000e+01,1.267010614625220555e+01
8.100000000000000000e+01,1.244641966661453480e+01
8.150000000000000000e+01,1.222668219426242153e+01
8.200000000000000000e+01,1.201082421595399552e+01
8.250000000000000000e+01,1.179877703895267871e+01
8.300000000000000000e+01,1.159047358281677376e+01
8.350000000000000000e+01,1.138584755889411504e+01
8.400000000000000000e+01,1.118483423440089020e+01
8.450000000000000000e+01,1.098736964063204447e+01
8.500000000000000000e+01,1.079339131029912835e+01
8.550000000000000000e+01,1.060283751345149916e+01
8.600000000000000000e+01,1.041564796900906842e+01
8.650000000000000000e+01,1.023176310742445239e+01
8.700000000000000000e+01,1.005112475731375632e+01
8.750000000000000000e+01,9.873675433923825295e+00
8.800000000000000000e+01,9.699359001732554830e+00
8.850000000000000000e+01,9.528119987818110204e+00
8.900000000000000000e+01,9.359904221269792046e+00
8.950000000000000000e+01,9.194658170587723944e+00
9.000000000000000000e+01,9.032329560715822936e+00
9.050000000000000000e+01,8.872866733630962344e+00
9.100000000000000000e+01,8.716219243781226922e+00
9.150000000000000000e+01,8.562337241052944137e+00
9.200000000000000000e+01,8.411172045370017614e+00
9.250000000000000000e+01,8.262675551255650674e+00
9.300000000000000000e+01,8.116800782322059149e+00
9.350000000000000000e+01,7.973501316671127270e+00
9.400000000000000000e+01,7.832731821978292430e+00
9.450000000000000000e+01,7.694447501002825263e+00
9.500000000000000000e+01,7.558604607945035525e+00
9.550000000000000000e+01,7.425159913362384678e+00
9.600000000000000000e+01,7.294071202455405967e+00
9.650000000000000000e+01,7.165296758710503866e+00
9.700000000000000000e+01,7.038795844747028241e+00
9.750000000000000000e+01,6.914528204031361369e+00
9.800000000000000000e+01,6.792454524895477519e+00
9.850000000000000000e+01,6.672535959689875007e+00
9.900000000000000000e+01,6.554734572562563422e+00
9.950000000000000000e+01,6.439012875440511152e+00
1.000000000000000000e+02,6.325334260137436715e+00
1.005000000000000000e+02,6.213662550574803767e+00
1.010000000000000000e+02,6.103962419766851610e+00
1.015000000000000000e+02,5.996198957712812749e+00
1.020000000000000000e+02,5.890338073788442763e+00
1.025000000000000000e+02,5.786346079760995131e+00
1.030000000000000000e+02,5.684190078097990373e+00
1.035000000000000000e+02,5.583837559575694165e+00
1.040000000000000000e+02,5.485256777997983946e+00
1.045000000000000000e+02,5.388416361887586881e+00
1.050000000000000000e+02,5.293285676090674130e+00
1.055000000000000000e+02,5.199834447057980924e+00
1.060000000000000000e+02,5.108033111794096470e+00
1.065000000000000000e+02,5.017852456252868798e+00
1.070000000000000000e+02,4.929263952074277810e+00
1.075000000000000000e+02,4.842239407635161363e+00
1.080000000000000000e+02,4.756751293001086012e+00
1.085000000000000000e+02,4.672772403189473955e+00
1.090000000000000000e+02,4.590276171748927325e+00
1.095000000000000000e+02,4.509236345807352109e+00
1.100000000000000000e+02,4.429627288676742047e+00
1.105000000000000000e+02,4.351423666273856128e+00
1.110000000000000000e+02,4.274600739134546856e+00
1.115000000000000000e+02,4.199134059808973696e+00
1.120000000000000000e+02,4.124999754656120565e+00
