x,current_density_corrected
1.045000000000000000e+02,1.527576707491649818e+10
1.050000000000000000e+02,1.500607852445681190e+10
1.055000000000000000e+02,1.474115111133686256e+10
1.060000000000000000e+02,1.448090102662252045e+10
1.065000000000000000e+02,1.422524545062532425e+10
1.070000000000000000e+02,1.397410350752696800e+10
1.075000000000000000e+02,1.372739527613354492e+10
1.080000000000000000e+02,1.348504271109040451e+10
1.085000000000000000e+02,1.324696868825768089e+10
1.090000000000000000e+02,1.301309789368479538e+10
1.095000000000000000e+02,1.278335590239560699e+10
1.100000000000000000e+02,1.255767003625089836e+10
1.105000000000000000e+02,1.233596847497386360e+10
1.110000000000000000e+02,1.211818108398942184e+10
1.115000000000000000e+02,1.190423855656174660e+10
1.120000000000000000e+02,1.169407321266113472e+10
1.125000000000000000e+02,1.148761817112470627e+10
1.130000000000000000e+02,1.128480812056481171e+10
1.135000000000000000e+02,1.108557852050216103e+10
1.140000000000000000e+02,1.088986634529425430e+10
1.145000000000000000e+02,1.069760931322696114e+10
1.150000000000000000e+02,1.050874660440721703e+10
1.155000000000000000e+02,1.032321811683458138e+10
1.160000000000000000e+02,1.014096515916937256e+10
1.165000000000000000e+02,9.961929732839994431e+09
1.170000000000000000e+02,9.786055200565773010e+09
1.175000000000000000e+02,9.613285593588872910e+09
1.180000000000000000e+02,9.443566256800401688e+09
1.185000000000000000e+02,9.276843180217571259e+09
1.190000000000000000e+02,9.113063621531915665e+09
1.195000000000000000e+02,8.952175460983163834e+09
1.200000000000000000e+02,8.794127802119754791e+09
1.205000000000000000e+02,8.638870349250593185e+09
1.210000000000000000e+02,8.486353987180354118e+09
1.215000000000000000e+02,8.336530180448989868e+09
1.220000000000000000e+02,8.189351532777644157e+09
1.225000000000000000e+02,8.044771207333341599e+09
1.230000000000000000e+02,7.902743466595655441e+09
1.235000000000000000e+02,7.763223112910743713e+09
1.240000000000000000e+02,7.626166009463943481e+09
1.245000000000000000e+02,7.491528540413133621e+09
1.250000000000000000e+02,7.359268113628481865e+09
1.255000000000000000e+02,7.229342639719881058e+09
1.260000000000000000e+02,7.101711017181992531e+09
1.265000000000000000e+02,6.976332629654489517e+09
1.270000000000000000e+02,6.853167814088171959e+09
1.275000000000000000e+02,6.732177375599911690e+09
1.280000000000000000e+02,6.613323039254058838e+09
1.285000000000000000e+02,6.496566981896324158e+09
1.290000000000000000e+02,6.381872268123891830e+09
1.295000000000000000e+02,6.269202398504027367e+09
1.300000000000000000e+02,6.158521730286245346e+09
1.305000000000000000e+02,6.049795041432217598e+09
1.310000000000000000e+02,5.942987936603999138e+09
1.315000000000000000e+02,5.838066426451861382e+09
1.320000000000000000e+02,5.734997319393893242e+09
1.325000000000000000e+02,5.633747815627759933e+09
1.330000000000000000e+02,5.534285885198948860e+09
