x,current_suppression_factor
2.700000000000000000e+01,9.248701763129096864e-01
2.750000000000000000e+01,9.432636278766792781e-01
2.800000000000000000e+01,9.620188029076768288e-01
2.850000000000000000e+01,9.811315593752824027e-01
2.900000000000000000e+01,1.000596873113823948e+00
2.950000000000000000e+01,1.020408802413073079e+00
3.000000000000000000e+01,1.040560455136612328e+00
3.050000000000000000e+01,1.061043958842496693e+00
3.100000000000000000e+01,1.081850434394863170e+00
3.150000000000000000e+01,1.102969973563812989e+00
3.200000000000000000e+01,1.124391621113881801e+00
3.250000000000000000e+01,1.146103361877190530e+00
3.300000000000000000e+01,1.168092113296211654e+00
3.350000000000000000e+01,1.190343723901075901e+00
3.400000000000000000e+01,1.212842978158448881e+00
3.450000000000000000e+01,1.235573608091380837e+00
3.500000000000000000e+01,1.258518312023005015e+00
3.550000000000000000e+01,1.281658780740864367e+00
3.600000000000000000e+01,1.304975731313376297e+00
3.650000000000000000e+01,1.328448948715933886e+00
3.700000000000000000e+01,1.352057335341691369e+00
3.750000000000000000e+01,1.375778968382566969e+00
3.800000000000000000e+01,1.399591164970094059e+00
3.850000000000000000e+01,1.423470554865099880e+00
3.900000000000000000e+01,1.447393160381425181e+00
3.950000000000000000e+01,1.471334483123575287e+00
4.000000000000000000e+01,1.495269597013757723e+00
4.050000000000000000e+01,1.519173246981740721e+00
4.100000000000000000e+01,1.543019952594291144e+00
4.150000000000000000e+01,1.566784115811012512e+00
4.200000000000000000e+01,1.590440131973054338e+00
4.250000000000000000e+01,1.613962503062057463e+00
4.300000000000000000e+01,1.637325952210791025e+00
4.350000000000000000e+01,1.660505538405915305e+00
4.400000000000000000e+01,1.683476770298282688e+00
4.450000000000000000e+01,1.706215718028359030e+00
4.500000000000000000e+01,1.728699121984086595e+00
4.550000000000000000e+01,1.750904497435937346e+00
4.600000000000000000e+01,1.772810234038870059e+00
4.650000000000000000e+01,1.794395689252476167e+00
4.700000000000000000e+01,1.815641274807622052e+00
4.750000000000000000e+01,1.836528535439193144e+00
4.800000000000000000e+01,1.857040219207313658e+00
4.850000000000000000e+01,1.877160338842815301e+00
4.900000000000000000e+01,1.896874223672973647e+00
4.950000000000000000e+01,1.916168561809132420e+00
5.000000000000000000e+01,1.935031432405624585e+00
5.050000000000000000e+01,1.953452327926980647e+00
5.100000000000000000e+01,1.971422166485262029e+00
5.150000000000000000e+01,1.988933294429100496e+00
5.200000000000000000e+01,2.005979479478474214e+00
5.250000000000000000e+01,2.022555894802720022e+00
5.300000000000000000e+01,2.038659094531894755e+00
5.350000000000000000e+01,2.054286981272484436e+00
5.400000000000000000e+01,2.069438766266408880e+00
5.450000000000000000e+01,2.084114922886981081e+00
5.500000000000000000e+01,2.098317134206562518e+00
5.550000000000000000e+01,2.112048235398459539e+00
5.600000000000000000e+01,2.125312151750286205e+00
5.650000000000000000e+01,2.138113833068434833e+00
5.700000000000000000e+01,2.150459185244294691e+00
5.750000000000000000e+01,2.162354999733430816e+00
5.800000000000000000e+01,2.173808881670359572e+00
5.850000000000000000e+01,2.184829177305064540e+00
5.900000000000000000e+01,2.195424901404378293e+00
5.950000000000000000e+01,2.205605665212986732e+00
6.000000000000000000e+01,2.215381605516666852e+00
6.050000000000000000e+01,2.224763315295358979e+00
6.100000000000000000e+01,2.233761776397380494e+00
6.150000000000000000e+01,2.242388294609147348e+00
6.200000000000000000e+01,2.250654437438497357e+00
6.250000000000000000e+01,2.258571974874761246e+00
6.300000000000000000e+01,2.266152823335937594e+00
6.350000000000000000e+01,2.273408992963092512e+00
6.400000000000000000e+01,2.280352538375153060e+00
6.450000000000000000e+01,2.286993491134477363e+00
6.500000000000000000e+01,2.293345800576310101e+00
6.550000000000000000e+01,2.299421634568261652e+00
