x,mean_free_path
1.115000000000000000e+02,8.198408893522406515e+02
1.120000000000000000e+02,8.200161256634878555e+02
1.125000000000000000e+02,8.201791947456542857e+02
1.130000000000000000e+02,8.203308822522211585e+02
1.135000000000000000e+02,8.204719278556198105e+02
1.140000000000000000e+02,8.206030275540329058e+02
1.145000000000000000e+02,8.207248358949758540e+02
1.150000000000000000e+02,8.208379681156236529e+02
1.155000000000000000e+02,8.209430022001563430e+02
1.160000000000000000e+02,8.210404808547705215e+02
1.165000000000000000e+02,8.211309134012994946e+02
1.170000000000000000e+02,8.212147775907080813e+02
1.175000000000000000e+02,8.212925213378622402e+02
1.180000000000000000e+02,8.213645643792465307e+02
1.185000000000000000e+02,8.214312998554190699e+02
1.190000000000000000e+02,8.214930958201614430e+02
1.195000000000000000e+02,8.215502966782912608e+02
1.200000000000000000e+02,8.216032245544115540e+02
1.205000000000000000e+02,8.216521805945631058e+02
1.210000000000000000e+02,8.216974462032532074e+02
1.215000000000000000e+02,8.217392842179137915e+02
1.220000000000000000e+02,8.217779400232165017e+02
1.225000000000000000e+02,8.218136426074122483e+02
1.230000000000000000e+02,8.218466055630057099e+02
1.235000000000000000e+02,8.218770280340509089e+02
1.240000000000000000e+02,8.219050956121878926e+02
1.245000000000000000e+02,8.219309811836899371e+02
1.250000000000000000e+02,8.219548457296380093e+02
1.255000000000000000e+02,8.219768390813022734e+02
1.260000000000000000e+02,8.219971006328075873e+02
1.265000000000000000e+02,8.220157600130519313e+02
1.270000000000000000e+02,8.220329377188081708e+02
1.275000000000000000e+02,8.220487457109566094e+02
1.280000000000000000e+02,8.220632879755380600e+02
1.285000000000000000e+02,8.220766610515485127e+02
1.290000000000000000e+02,8.220889545270088092e+02
1.295000000000000000e+02,8.221002515050414559e+02
1.300000000000000000e+02,8.221106290415476678e+02
1.305000000000000000e+02,8.221201585558613942e+02
1.310000000000000000e+02,8.221289062159906962e+02
1.315000000000000000e+02,8.221369332997282982e+02
1.320000000000000000e+02,8.221442965329712251e+02
1.325000000000000000e+02,8.221510484065754554e+02
1.330000000000000000e+02,8.221572374728777959e+02
1.335000000000000000e+02,8.221629086231246220e+02
1.340000000000000000e+02,8.221681033468184978e+02
1.345000000000000000e+02,8.221728599741314838e+02
1.350000000000000000e+02,8.221772139023015598e+02
1.355000000000000000e+02,8.221811978070026043e+02
1.360000000000000000e+02,8.221848418395663884e+02
1.365000000000000000e+02,8.221881738109550497e+02
1.370000000000000000e+02,8.221912193632415438e+02
1.375000000000000000e+02,8.221940021293814880e+02
1.380000000000000000e+02,8.221965438820379859e+02
1.385000000000000000e+02,8.221988646720877796e+02
1.390000000000000000e+02,8.222009829575310960e+02
1.395000000000000000e+02,8.222029157233243950e+02
1.400000000000000000e+02,8.222046785928320105e+02
1.405000000000000000e+02,8.222062859313216450e+02
1.410000000000000000e+02,8.222077509421241075e+02
1.415000000000000000e+02,8.222090857558675907e+02
1.420000000000000000e+02,8.222103015132845485e+02
1.425000000000000000e+02,8.222114084420055633e+02
1.430000000000000000e+02,8.222124159277417448e+02
1.435000000000000000e+02,8.222133325802487889e+02
1.440000000000000000e+02,8.222141662944100062e+02
1.445000000000000000e+02,8.222149243067941597e+02
