x,penetration_depth_corrected
1.525000000000000000e+02,2.871415184505302065e+01
1.530000000000000000e+02,2.871415169760551223e+01
1.535000000000000000e+02,2.871415156439330474e+01
1.540000000000000000e+02,2.871415144408431530e+01
1.545000000000000000e+02,2.871415133546683762e+01
1.550000000000000000e+02,2.871415123743913966e+01
1.555000000000000000e+02,2.871415114899980026e+01
1.560000000000000000e+02,2.871415106923893035e+01
1.565000000000000000e+02,2.871415099733016874e+01
1.570000000000000000e+02,2.871415093252322848e+01
1.575000000000000000e+02,2.871415087413721068e+01
1.580000000000000000e+02,2.871415082155437304e+01
1.585000000000000000e+02,2.871415077421451656e+01
1.590000000000000000e+02,2.871415073160980214e+01
1.595000000000000000e+02,2.871415069328003256e+01
1.600000000000000000e+02,2.871415065880832884e+01
1.605000000000000000e+02,2.871415062781722227e+01
1.610000000000000000e+02,2.871415059996501640e+01
1.615000000000000000e+02,2.871415057494257539e+01
1.620000000000000000e+02,2.871415055247024739e+01
1.625000000000000000e+02,2.871415053229520709e+01
1.630000000000000000e+02,2.871415051418894038e+01
1.635000000000000000e+02,2.871415049794499907e+01
1.640000000000000000e+02,2.871415048337692966e+01
1.645000000000000000e+02,2.871415047031639389e+01
1.650000000000000000e+02,2.871415045861149551e+01
1.655000000000000000e+02,2.871415044812517436e+01
1.660000000000000000e+02,2.871415043873384931e+01
1.665000000000000000e+02,2.871415043032612502e+01
1.670000000000000000e+02,2.871415042280161245e+01
1.675000000000000000e+02,2.871415041606987373e+01
1.680000000000000000e+02,2.871415041004950197e+01
1.685000000000000000e+02,2.871415040466719049e+01
1.690000000000000000e+02,2.871415039985698670e+01
1.695000000000000000e+02,2.871415039555960291e+01
1.700000000000000000e+02,2.871415039172169159e+01
1.705000000000000000e+02,2.871415038829531952e+01
1.710000000000000000e+02,2.871415038523743135e+01
1.715000000000000000e+02,2.871415038250934870e+01
1.720000000000000000e+02,2.871415038007634735e+01
1.725000000000000000e+02,2.871415037790725933e+01
1.730000000000000000e+02,2.871415037597414255e+01
1.735000000000000000e+02,2.871415037425192196e+01
1.740000000000000000e+02,2.871415037271811954e+01
1.745000000000000000e+02,2.871415037135260562e+01
1.750000000000000000e+02,2.871415037013733595e+01
1.755000000000000000e+02,2.871415036905615281e+01
1.760000000000000000e+02,2.871415036809459664e+01
1.765000000000000000e+02,2.871415036723973202e+01
1.770000000000000000e+02,2.871415036647998775e+01
1.775000000000000000e+02,2.871415036580500413e+01
1.780000000000000000e+02,2.871415036520554764e+01
1.785000000000000000e+02,2.871415036467334048e+01
1.790000000000000000e+02,2.871415036420100719e+01
1.795000000000000000e+02,2.871415036378196461e+01
1.800000000000000000e+02,2.871415036341031879e+01
1.805000000000000000e+02,2.871415036308082591e+01
1.810000000000000000e+02,2.871415036278880351e+01
1.815000000000000000e+02,2.871415036253008779e+01
1.820000000000000000e+02,2.871415036230095552e+01
1.825000000000000000e+02,2.871415036209809557e+01
1.830000000000000000e+02,2.871415036191855918e+01
1.835000000000000000e+02,2.871415036175971380e+01
1.840000000000000000e+02,2.871415036161922885e+01
1.845000000000000000e+02,2.871415036149502953e+01
1.850000000000000000e+02,2.871415036138525423e+01
1.855000000000000000e+02,2.871415036128826870e+01
1.860000000000000000e+02,2.871415036120261632e+01
1.865000000000000000e+02,2.871415036112699326e+01
1.870000000000000000e+02,2.871415036106024843e+01
1.875000000000000000e+02,2.871415036100136220e+01
1.880000000000000000e+02,2.871415036094942508e+01
1.885000000000000000e+02,2.871415036090363415e+01
1.890000000000000000e+02,2.871415036086327532e+01
1.895000000000000000e+02,2.871415036082771621e+01
1.900000000000000000e+02,2.871415036079639549e+01
1.905000000000000000e+02,2.871415036076882998e+01
1.910000000000000000e+02,2.871415036074455784e+01
1.915000000000000000e+02,2.871415036072320603e+01
1.920000000000000000e+02,2.871415036070442639e+01
1.925000000000000000e+02,2.871415036068791338e+01
1.930000000000000000e+02,2.871415036067339699e+01
1.935000000000000000e+02,2.871415036066064985e+01
1.940000000000000000e+02,2.871415036064945170e+01
1.945000000000000000e+02,2.871415036063961779e+01
1.950000000000000000e+02,2.871415036063098469e+01
1.955000000000000000e+02,2.871415036062341386e+01
1.960000000000000000e+02,2.871415036061677384e+01
1.965000000000000000e+02,2.871415036061094739e+01
1.970000000000000000e+02,2.871415036060584214e+01
1.975000000000000000e+02,2.871415036060136927e+01
1.980000000000000000e+02,2.871415036059745418e+01
1.985000000000000000e+02,2.871415036059402581e+01
1.990000000000000000e+02,2.871415036059102022e+01
1.995000000000000000e+02,2.871415036058838766e+01
2.000000000000000000e+02,2.871415036058609260e+01
2.005000000000000000e+02,2.871415036058408532e+01
2.010000000000000000e+02,2.871415036058232317e+01
2.015000000000000000e+02,2.871415036058079551e+01
2.020000000000000000e+02,2.871415036057945258e+01
2.025000000000000000e+02,2.871415036057828374e+01
2.030000000000000000e+02,2.871415036057726056e+01
