x,current_density
9.450000000000000000e+01,2.074471726940224457e+10
9.500000000000000000e+01,2.036713599707073975e+10
9.550000000000000000e+01,1.999642701319829941e+10
9.600000000000000000e+01,1.963246561253539658e+10
9.650000000000000000e+01,1.927512860751022339e+10
9.700000000000000000e+01,1.892429579116175461e+10
9.750000000000000000e+01,1.857984841946197510e+10
9.800000000000000000e+01,1.824167062147894287e+10
9.850000000000000000e+01,1.790964793644375229e+10
9.900000000000000000e+01,1.758366867304709244e+10
9.950000000000000000e+01,1.726362249927614975e+10
1.000000000000000000e+02,1.694940175267951965e+10
1.005000000000000000e+02,1.664090008107064629e+10
1.010000000000000000e+02,1.633801370552964592e+10
1.015000000000000000e+02,1.604064011013842201e+10
1.020000000000000000e+02,1.574867925942433548e+10
1.025000000000000000e+02,1.546203233535833931e+10
1.030000000000000000e+02,1.518060291088377571e+10
1.035000000000000000e+02,1.490429573247272110e+10
1.040000000000000000e+02,1.463301785132402992e+10
1.045000000000000000e+02,1.436667744983450127e+10
1.050000000000000000e+02,1.410518493199305916e+10
1.055000000000000000e+02,1.384845179218272400e+10
1.060000000000000000e+02,1.359639166624279022e+10
1.065000000000000000e+02,1.334891924107464218e+10
1.070000000000000000e+02,1.310595126779067802e+10
1.075000000000000000e+02,1.286740551065215874e+10
1.080000000000000000e+02,1.263320172367244530e+10
1.085000000000000000e+02,1.240326063746809387e+10
1.090000000000000000e+02,1.217750490063469315e+10
1.095000000000000000e+02,1.195585810314361572e+10
1.100000000000000000e+02,1.173824568376114655e+10
1.105000000000000000e+02,1.152459398867264557e+10
1.110000000000000000e+02,1.131483114616983414e+10
1.115000000000000000e+02,1.110888615923165321e+10
1.120000000000000000e+02,1.090668974866040421e+10
1.125000000000000000e+02,1.070817347839445114e+10
1.130000000000000000e+02,1.051327056823128128e+10
1.135000000000000000e+02,1.032191505069137764e+10
1.140000000000000000e+02,1.013404255442524529e+10
1.145000000000000000e+02,9.949589491490358353e+09
1.150000000000000000e+02,9.768493812499629974e+09
1.155000000000000000e+02,9.590694223214380264e+09
