x,screening_profile
2.650000000000000000e+01,5.140591502076702568e+01
2.700000000000000000e+01,5.071891587331715812e+01
2.750000000000000000e+01,5.003829529189284386e+01
2.800000000000000000e+01,4.936399637758496795e+01
2.850000000000000000e+01,4.869596532824606072e+01
2.900000000000000000e+01,4.803415133841101436e+01
2.950000000000000000e+01,4.737850649855617746e+01
3.000000000000000000e+01,4.672898569365668209e+01
3.050000000000000000e+01,4.608554650101285688e+01
3.100000000000000000e+01,4.544814908732827519e+01
3.150000000000000000e+01,4.481675610503383922e+01
3.200000000000000000e+01,4.419133258786467167e+01
3.250000000000000000e+01,4.357184584570903496e+01
3.300000000000000000e+01,4.295826535876147290e+01
3.350000000000000000e+01,4.235056267102517324e+01
3.400000000000000000e+01,4.174871128322166669e+01
3.450000000000000000e+01,4.115268654517903713e+01
3.500000000000000000e+01,4.056246554778260816e+01
3.550000000000000000e+01,3.997802701458508778e+01
3.600000000000000000e+01,3.939935119318534618e+01
3.650000000000000000e+01,3.882641974649747141e+01
3.700000000000000000e+01,3.825921564404303865e+01
3.750000000000000000e+01,3.769772319978411446e+01
3.800000000000000000e+01,3.714192797626743214e+01
3.850000000000000000e+01,3.659181605644435109e+01
3.900000000000000000e+01,3.604737469031799435e+01
3.950000000000000000e+01,3.550859164026469728e+01
4.000000000000000000e+01,3.497545555385032401e+01
4.050000000000000000e+01,3.444795545145537830e+01
4.100000000000000000e+01,3.392608096332197931e+01
4.150000000000000000e+01,3.340982195673836941e+01
4.200000000000000000e+01,3.289916864218776738e+01
4.250000000000000000e+01,3.239411133630222395e+01
4.300000000000000000e+01,3.189464044307311852e+01
4.350000000000000000e+01,3.140074634770327222e+01
4.400000000000000000e+01,3.091241927990548533e+01
4.450000000000000000e+01,3.042964933269298911e+01
4.500000000000000000e+01,2.995242621580760911e+01
4.550000000000000000e+01,2.948073939242207686e+01
4.600000000000000000e+01,2.901457773167363996e+01
4.650000000000000000e+01,2.855392975523675148e+01
4.700000000000000000e+01,2.809878319876511910e+01
4.750000000000000000e+01,2.764912535935877358e+01
4.800000000000000000e+01,2.720494257641299285e+01
4.850000000000000000e+01,2.676622067017687101e+01
4.900000000000000000e+01,2.633294435305184678e+01
4.950000000000000000e+01,2.590509774874316662e+01
5.000000000000000000e+01,2.548266374542838975e+01
