x,enhancement_factor
8.900000000000000000e+01,1.065509868113589498e+00
8.950000000000000000e+01,1.065389737555039851e+00
9.000000000000000000e+01,1.065276124473333086e+00
9.050000000000000000e+01,1.065168715924549314e+00
9.100000000000000000e+01,1.065067211424811644e+00
9.150000000000000000e+01,1.064971322611407034e+00
9.200000000000000000e+01,1.064880772903275652e+00
9.250000000000000000e+01,1.064795297161643006e+00
9.300000000000000000e+01,1.064714641351545810e+00
9.350000000000000000e+01,1.064638562204913486e+00
9.400000000000000000e+01,1.064566826885852802e+00
9.450000000000000000e+01,1.064499212658711613e+00
9.500000000000000000e+01,1.064435506559467504e+00
9.550000000000000000e+01,1.064375505070926486e+00
9.600000000000000000e+01,1.064319013802192293e+00
9.650000000000000000e+01,1.064265847172809476e+00
9.700000000000000000e+01,1.064215828101950256e+00
9.750000000000000000e+01,1.064168787702984176e+00
9.800000000000000000e+01,1.064124564983713217e+00
9.850000000000000000e+01,1.064083006552548838e+00
9.900000000000000000e+01,1.064043966330847191e+00
9.950000000000000000e+01,1.064007305271604586e+00
1.000000000000000000e+02,1.063972891084680406e+00
1.005000000000000000e+02,1.063940597968684232e+00
1.010000000000000000e+02,1.063910306349644674e+00
1.015000000000000000e+02,1.063881902626541809e+00
1.020000000000000000e+02,1.063855278923775405e+00
1.025000000000000000e+02,1.063830332850605798e+00
1.030000000000000000e+02,1.063806967267590720e+00
1.035000000000000000e+02,1.063785090060028526e+00
1.040000000000000000e+02,1.063764613918382507e+00
1.045000000000000000e+02,1.063745456125668731e+00
1.050000000000000000e+02,1.063727538351750823e+00
1.055000000000000000e+02,1.063710786454491464e+00
1.060000000000000000e+02,1.063695130287684476e+00
1.065000000000000000e+02,1.063680503515685549e+00
1.070000000000000000e+02,1.063666843434648790e+00
1.075000000000000000e+02,1.063654090800265406e+00
1.080000000000000000e+02,1.063642189661895721e+00
1.085000000000000000e+02,1.063631087202971282e+00
1.090000000000000000e+02,1.063620733587548717e+00
1.095000000000000000e+02,1.063611081812877224e+00
1.100000000000000000e+02,1.063602087567849130e+00
1.105000000000000000e+02,1.063593709097192752e+00
1.110000000000000000e+02,1.063585907071261438e+00
1.115000000000000000e+02,1.063578644461274703e+00
1.120000000000000000e+02,1.063571886419863333e+00
1.125000000000000000e+02,1.063565600166768599e+00
1.130000000000000000e+02,1.063559754879540353e+00
1.135000000000000000e+02,1.063554321589090135e+00
1.140000000000000000e+02,1.063549273079936741e+00
1.145000000000000000e+02,1.063544583795005272e+00
1.150000000000000000e+02,1.063540229744817101e+00
1.155000000000000000e+02,1.063536188420928008e+00
1.160000000000000000e+02,1.063532438713465034e+00
1.165000000000000000e+02,1.063528960832611947e+00
1.170000000000000000e+02,1.063525736233903674e+00
1.175000000000000000e+02,1.063522747547180680e+00
1.180000000000000000e+02,1.063519978509071651e+00
1.185000000000000000e+02,1.063517413898857900e+00
1.190000000000000000e+02,1.063515039477589408e+00
1.195000000000000000e+02,1.063512841930322805e+00
1.200000000000000000e+02,1.063510808811343633e+00
1.205000000000000000e+02,1.063508928492261640e+00
1.210000000000000000e+02,1.063507190112838785e+00
1.215000000000000000e+02,1.063505583534447574e+00
1.220000000000000000e+02,1.063504099296030958e+00
1.225000000000000000e+02,1.063502728572460088e+00
1.230000000000000000e+02,1.063501463135177572e+00
1.235000000000000000e+02,1.063500295315017663e+00
1.240000000000000000e+02,1.063499217967108113e+00
1.245000000000000000e+02,1.063498224437750217e+00
1.250000000000000000e+02,1.063497308533181140e+00
1.255000000000000000e+02,1.063496464490132576e+00
1.260000000000000000e+02,1.063495686948087604e+00
1.265000000000000000e+02,1.063494970923161587e+00
1.270000000000000000e+02,1.063494311783518942e+00
1.275000000000000000e+02,1.063493705226243646e+00
1.280000000000000000e+02,1.063493147255600180e+00
1.285000000000000000e+02,1.063492634162597206e+00
1.290000000000000000e+02,1.063492162505797811e+00
1.295000000000000000e+02,1.063491729093303029e+00
1.300000000000000000e+02,1.063491330965843584e+00
1.305000000000000000e+02,1.063490965380926800e+00
1.310000000000000000e+02,1.063490629797973375e+00
1.315000000000000000e+02,1.063490321864391186e+00
1.320000000000000000e+02,1.063490039402535059e+00
1.325000000000000000e+02,1.063489780397498530e+00
1.330000000000000000e+02,1.063489542985695646e+00
1.335000000000000000e+02,1.063489325444178846e+00
1.340000000000000000e+02,1.063489126180659383e+00
1.345000000000000000e+02,1.063488943724179903e+00
1.350000000000000000e+02,1.063488776716406958e+00
1.355000000000000000e+02,1.063488623903503738e+00
1.360000000000000000e+02,1.063488484128547684e+00
1.365000000000000000e+02,1.063488356324458373e+00
1.370000000000000000e+02,1.063488239507410560e+00
1.375000000000000000e+02,1.063488132770692651e+00
1.380000000000000000e+02,1.063488035278991495e+00
1.385000000000000000e+02,1.063487946263070860e+00
1.390000000000000000e+02,1.063487865014822953e+00
1.395000000000000000e+02,1.063487790882664319e+00
1.400000000000000000e+02,1.063487723267258822e+00
1.405000000000000000e+02,1.063487661617542601e+00
1.410000000000000000e+02,1.063487605427033467e+00
1.415000000000000000e+02,1.063487554230406307e+00
1.420000000000000000e+02,1.063487507600313187e+00
1.425000000000000000e+02,1.063487465144437705e+00
1.430000000000000000e+02,1.063487426502761624e+00
1.435000000000000000e+02,1.063487391345035782e+00
1.440000000000000000e+02,1.063487359368433749e+00
1.445000000000000000e+02,1.063487330295383115e+00
1.450000000000000000e+02,1.063487303871557321e+00
1.455000000000000000e+02,1.063487279864019364e+00
1.460000000000000000e+02,1.063487258059504725e+00
1.465000000000000000e+02,1.063487238262834200e+00
1.470000000000000000e+02,1.063487220295450619e+00
1.475000000000000000e+02,1.063487203994065267e+00
1.480000000000000000e+02,1.063487189209409101e+00
1.485000000000000000e+02,1.063487175805081897e+00
1.490000000000000000e+02,1.063487163656490431e+00
1.495000000000000000e+02,1.063487152649870593e+00
1.500000000000000000e+02,1.063487142681384334e+00
1.505000000000000000e+02,1.063487133656291439e+00
1.510000000000000000e+02,1.063487125488185026e+00
1.515000000000000000e+02,1.063487118098286777e+00
1.520000000000000000e+02,1.063487111414804787e+00
1.525000000000000000e+02,1.063487105372334041e+00
1.530000000000000000e+02,1.063487099911315292e+00
1.535000000000000000e+02,1.063487094977529912e+00
1.540000000000000000e+02,1.063487090521641365e+00
1.545000000000000000e+02,1.063487086498771772e+00
1.550000000000000000e+02,1.063487082868116218e+00
1.555000000000000000e+02,1.063487079592585260e+00
1.560000000000000000e+02,1.063487076638478968e+00
1.565000000000000000e+02,1.063487073975191377e+00
1.570000000000000000e+02,1.063487071574934495e+00
1.575000000000000000e+02,1.063487069412489383e+00
1.580000000000000000e+02,1.063487067464976787e+00
1.585000000000000000e+02,1.063487065711648860e+00
1.590000000000000000e+02,1.063487064133696425e+00
1.595000000000000000e+02,1.063487062714075337e+00
1.600000000000000000e+02,1.063487061437345504e+00
1.605000000000000000e+02,1.063487060289526775e+00
1.610000000000000000e+02,1.063487059257963496e+00
1.615000000000000000e+02,1.063487058331206603e+00
1.620000000000000000e+02,1.063487057498898158e+00
1.625000000000000000e+02,1.063487056751674320e+00
1.630000000000000000e+02,1.063487056081071858e+00
1.635000000000000000e+02,1.063487055479444443e+00
1.640000000000000000e+02,1.063487054939886267e+00
1.645000000000000000e+02,1.063487054456162761e+00
